Title,Price,Sold,Reviews,Condition,Brand,Power Source,Material,Voltage,Model,Color,Features,Item Width,Item Length,MPN,Smart Home Protocol,Country/Region of Manufacture,Manufacturer Warranty,UPC,Binding,Item Depth,Returns,Manufacturer Part Number,Manufacturer,Type,Item Height,Item Weight,Prop65_fl,Prop65Warning,Number of Heat Settings,PackageQuantityCASuggestion,EAN,Heating Element Format,Heating Element Material,Tank Capacity,BTU Heating Rating,Control Style,Heating System,Annual Fuel Utilization Efficiency (AFUE),Mounting Location,Operating Sound Rating,Timer Control,Year Manufactured,Smart Home Compatibility,Energy Star,Energy Efficiency Ratio (EER),Area Covered,EC Range,Power,PackQty,Heating Wattage,Height,Cable Length,Colour,GTIN,Size,SHIPPING,RETURN,ITEM LOCATION,International buyers,Custom Bundle,Current Rating,Air Direction,Warranty,VAT,Width,Depth,ISBN,Assembled Product Dimensions (L x W x H),Power Type,Recommended Location,Assembled Product Weight,Heater Controls,Automatic shutoff,Product Weight (lb),Installation,Heater Type,Timer Included,Color Family,Product Width (in),Anti-freeze setting,Indoor/Outdoor,ACLI Safety Plug,Product Height (in),Thermostat,Wattage (watts),Product Depth (in),Amperage (amps),Heat Output (BTU/hour),Heating Technology Type,Certifications and Listings,Included Components,Item model number,Product Dimensions,Is Discontinued By Manufacturer,Import Designation,Batteries Required?,Assembly Required,Heating Method,Item Dimensions LxWxH,Country of Origin,Frame Material,Amperage,eBay Durapower Store Category,Tonnage,Power/Fuel Type,Area Heated (Sq Ft),Heat rating (BTU/hour),Bulb Type,Mount Location,Room Size,Portable Heater Features,Heating Product Type,Product Length (in),Department,Portable Heater Safety Features,Cord Length (in),Power Options,Voltage (volts),Warranty Description,Number of Pieces,Batteries Required,Is Assembly Required?,item_length,item_width,Battery Size,Number of Batteries,Battery Life,Motor Type,Battery Included,Bundle Description,Weight,Battery Capacity,Length,Heater Style,Resistance Properties,Style Name,Global Brand License,Home Decor Style,Theme,Price Per Unit UOM,Fuel Type,Count Per Pack,Finish,Number of Burners,Seating Capacity,Product Name,Number of Drawers,Recommended Room,Count,Age Group,Watts,Color Category,Gender,Is Assembly Required,PPU Quantity of Units,Number of Shelves,Piece Count,Mount Type,Multipack Quantity,Number of Customer Ratings,Baseboard Heating Type,Hydronic,Vented,Model No.,Item Weight ‏,manufacturer_part_number,Compressor Type,Product Type,Item Weight Major,SKU,Heating Element,Maximum Heat Power,Minimum Heat Power,Product Model,Pattern Name,product_height_in,area_heated_sq_ft,product_depth_in,heater_controls,room_size,heater_type,certifications_and_listings,color_family,portable_heater_safety_features,cord_length_in,indoor_outdoor,number_of_heat_settings,product_width_in,power_fuel_type,portable_heater_features,wattage_watts,heat_rating_btu_hour,pack_size,amperage_amps,voltage_volts,product_weight_lb,Indoor Safe,Dimensions,BTU per Hour,Safety Tip-over Switch,Heat Type,Control Type,Oxygen Depletion Sensor,Ignition,Min. Tank Capacity,Pack Size,package_length,Refrigerant,Location,Energy Rating,Country Of Origin,Number of Cool Speeds,Modification Description,Style,Manufacturer Color,Non-Domestic Product,Modified Item,Product Weight (lb.),Product Depth (in.),Accessories Included,Area Heated (Sq. Ft.),Oscillation,Model #:,Room Size (sq. ft.),Remote Control,Product Width (in.),Product Height (in.),Vent Hose Exhaust Configuration,Sub-Type,Seat Depth,Firmness,Set Includes,Number of Items in Set,Load Capacity,Stove Type Compatibility,UPC/GTIN Code,Mor Electric Heating SKU,Product Weight lb,Product Depth in,Wattage,Remote Access,Assembled Depth (in),Color/Finish,Patio Heater Type,Assembled Height (in),Total BTU,Cord Length (ft),Heating Area (sq ft),Outdoor Living Product Type,Assembled Width (in),Housing Material,Room,Ignition Type,Run time (hours),Fuel rate (gallons/hour),Fuel Tank Capacity (gallons),Stove Type Compability,PartNumber,Heating Capacity,Built-In Thermostat,Automatic Shut-Off,Requires Venting,On/Off Heat,Flame Intensity Control,Cord length:,Coverage Area,Amps,Studio,Publisher,ProductTypeName,ProductGroup,PackageQuantity,NumberOfItems,Label,Connectivity,Dosage,Product,Format,Compatible Brand,Compatible Model,Author,Book Tittle,Language,Batteries Included?,Finish Types,Item Package Quantity,Specific Uses,Air Flow Capacity,Special Features,Part Number,Batteries,Room Coverage Area,Return,state limitations,Product name,Rated Voltage,Power line,Main material:,Product Meas,Heating power,Use,Net Weight/Gross Weight,BoxSize,Package Include,bulb_type,mount_location,product_length_in,MaterialType,Heating Element Type,Plug Type,Cord Length,Overall Height,Overall Width
Heat Storm Infrared Heater 1500W w/ Roll Cage Electric Stainless Steel Black,119.94,30-day returns, ,"New: A brand-new, unused, unopened, undamaged item in its original packaging (where packaging is applicable). Packaging should be the same as what is found in a retail store, unless the item is handmade or was packaged by the manufacturer in non-retail packaging, such as an unprinted box or plastic bag. See the seller's listing for full details. ",Heat Storm,,Steel,,HS-1500-TRC,Onyx,,,,HS-1500-TRC,,,,0854271005598,,,,,,,,,,,1 Heat,,0854271005598,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Dreo 24"" Space Heater 10ft/s Fast Quiet Heating Portable Electric Heater with...",119.2, , ,"New: A brand-new, unused, unopened, undamaged item in its original packaging (where packaging is applicable). Packaging should be the same as what is found in a retail store, unless the item is handmade or was packaged by the manufacturer in non-retail packaging, such as an unprinted box or plastic bag. See the seller's listing for full details. ",Dreo,Electric,"Ceramic, Steel",,Does not apply,Black,"Auto Shut-off, Oscillation",,,DR-SH001,,,,0860006518189,,,,,,Portable Heater,,,,,3,,0860006518189,,Ceramic,,Less Than 2000 BTU,"Remote Control, Touch, Analog/Mechanical",Forced Air/Fan,,"Floor, Desk/Tabletop",,,,,,3 or Less,,,1500 W,,,,,,,7.8 x 7.8 x 24 inches,,,,,,,,,,,,0860006518189,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"New 4 Modes Space Heater,Keep Hot/Warm Electric Heater 1500W PTC with Thermostat",117.5,30-day returns, ,"New: A brand-new, unused, unopened, undamaged item in its original packaging (where packaging is applicable). Packaging should be the same as what is found in a retail store, unless the item is handmade or was packaged by the manufacturer in non-retail packaging, such as an unprinted box or plastic bag. See the seller's listing for full details. ",Dreo,Electric,,,,Black,Fire-Resistant,,6.70feet,,,,,,,,,,,Portable Heater,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Yes,,,,,,,,6.70 x 5.50 x 10.30 Feet,,"Indoor,Bedroom,Office",3.8 lb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 , , , ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Broan 157 Aluminum Radiant Ceiling Heater With Long Life Element & Built-In Fan,119.0,30-day returns,"['the product shown is not what I received.  the illustration is the wire coil unit and the 157 is a solid core heat unit, kinda like an electric stove top.  I have not used it enough to know if it works as well as the coiled wire.  It takes longer to heat up than the coil type.  I am unsure what happens if the unit overheats.  It has some type of thermal overload resistor, but not sure if it will reset like the thermal unit on the coil type.also my unit had been opened and was missing a screw and the center name plate, but I was able to use those parts from the old unit I was replacing.', 'The heater was purchased to replace an old model ceiling heater.  This one, manufactured by Broan, is installed in an elevator.  Normally, elevators are placed inside the building for use and uses the ambient air to heat/cool the space.  This particular elevator is installed on an outside wall and ambient temperatures are hard to come by.The Broan unit is turned on during the fall/winter season and runs almost constantly.  It keeps the elevator well heated.  The installation of the unit is very simple and can readily be installed over a 4x4 electrical box.  After the unit has been in use for awhile, the metal screen covering may begin to rattle.  There is a single phillips-head screw that holds the screen on.  This screw will loosen and requires tightening periodically.  Another alternative is to use a ""Lock-Tite"" product to secure the screw.  I\'ve tried using lock washers, but they do not hold very well.Overall, the unit is durable.  The small motor that rotates the fan needs to be cleaned and lubricated periodically.  At times, I\'ve found the fan speed slowing down and have had to clean/lubricate the motor to get the fan up to speed.  If the fan motor decreases too much, there is a thermal heat sensor that will cause the heater element to turn off.  This prevents the heater element to overheat and cause a fire.  Overall, a decent little unit that thats the chill off the space during the winter months.  Because of my search for this product, I purchased two of them.  One of them is in \'bench stock\' in case the first one should fail.', 'Don\'t know why I waited so long to purchase and install a ceiling heater in our Master Bath.  After one week of use, I am very pleased and hoping that it will provide many years of service and comfort.  I was disappointed to discover that there was no  installation  hardware included with the fan.  The instructions indicated that it was  ""easy to install"" - only if you have your own hardware available.', 'I bought this to replace a Broan model 154 that lasted about 2 years.  So far it works great.  It heats the bathroom nicely and is much quieter because it has a solid metal heating element instead of the thin coiled wire element of the model 154.  This type of element should be more efficient and last longer as well, but only time will tell.', 'Installed it overhead just as I step out of the shower. Works on a timer that I set for approx. 10 minutes. The family likes it also.', 'Improved design replaced old one like it that stopped working after several years', 'This device stopped working in a week after installation. The power to the heater tested good.', ""Love this little heater, just renivating my Mum's home.   It's so nice to have this little heater in the basement bath.  Very reasonable in price and a nice touch!!!"", 'Brand new unused, unopened.  Excellent purchase. ', 'The Broan 157 ceiling heater is a great upgrade from the "" twisted wire element "" heater. This unit has a solid element like on a stove top burner and heats my bathroom better.  You will be very happy with this unit.']","New: A brand-new, unused, unopened, undamaged item in its original packaging (where packaging is applicable). Packaging should be the same as what is found in a retail store, unless the item is handmade or was packaged by the manufacturer in non-retail packaging, such as an unprinted box or plastic bag. See the seller's listing for full details. ",Broan,"Corded Electric, Fan, Fan,Electric, Electric, Electric Fan","Aluminum,Nickel,Chrome,Metal, Aluminum, Satin Finish, Chrome, Aluminum,Metal,Chrome, Nickel, Aluminum,Chrome,Metal,Nickel, Metal, Satin Nickel",120 V,157,Gray,Indoor,11 in,,157,Unvented,China,,0026715080731,,,,,,Surface-Mounted,,,,,1,,0026715080731,,,,,"Dial, Switch, Dial,Remote Control,Switch, Remote Control, Switch,Dial,Remote Control",Radiant,,"Wall,Ceiling, Wall, Ceiling",Low,,,replacement water heater heating elements,,,Under 150sq ft,,1250 W,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,China,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"17"" Freestanding Electric Fireplace Heater Stove 1400W Realistic Flame Effect",119.99,205 sold, ,"New: A brand-new, unused, unopened, undamaged item in its original packaging (where packaging is applicable). Packaging should be the same as what is found in a retail store, unless the item is handmade or was packaged by the manufacturer in non-retail packaging, such as an unprinted box or plastic bag. See the seller's listing for full details. ",Onebigoutlet,Electric,ABS Plastic,110,Electric Heater,Black,Portable,,,Does not apply,,,,Does not apply,,,,,,Freestanding Heater,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1500W,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
KEG Towel Warmer Wall Mounted Built-in Timer 4 Bars Electric Stainless Steel,119.0, , ,"New: A brand-new, unused, unopened, undamaged item in its original packaging (where packaging is applicable). Packaging should be the same as what is found in a retail store, unless the item is handmade or was packaged by the manufacturer in non-retail packaging, such as an unprinted box or plastic bag. See the seller's listing for full details. ",KEG,Electric,,,,,Timer,,,,,,,,,,,,,Towel Warmer,,,,,,,,,Stainless Steel,,,,,,Wall,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mr Heater F232000 Portable Buddy Heater 4000 and 9000 BTU Hr Standard,115.89,30-day returns,"[""I bought this heater for my small garage workshop. My electric heater kept tripping the breaker while using other equipment. I was afraid of other gas heaters due to their carbon monoxide emissions. This was one of the few gas heaters rated for indoor use. It also has an oxygen depletion detector and tip over cut off feature which I thought was very important.This heater silently keeps my shop warm in even the coldest temperatures and can also be attached to a 20 pound propane tank with an accessory hose ~ which I also purchased. I've run this heater for up to 6 hours uninterrupted with no noticeable fumes and since all the heat is focused out the front, it can be set close to a wall with no worries.I know I'm going to get a lot of use out of this heater. It was a very reasonable price and filled my needs perfectly. Highly recomend the Mr. Heater Buddy for heating small spaces."", 'Here in Monterey County the weather can be colder in the evenings. At my home we cut of the central heating back in ‘88 so we all dress up like eskimos to keep warm. Don’t get me wrong. We do use electric heaters in certain areas but after purchasing this Portable Propane heater, it was Heaven sent. I recommend this product with all my heart. It is compact. It is durable. It is easy to refuel. It is warm to hot. And now, as we speak, the 5 ft extension hose just arrived. When connected from my Gas Buddy to a 20 lb propane tank, I should get at least 24 hrs of constant heat. Thank you for your time. ', 'The last power outage we only had kerosene heaters.  They are big, bulky, heavy, require pouring fuel and the fumes left us wheezing and coughing.  Therefore, we found these Mr. Heater, bought two and what a difference.  Small enough to be moved from room to room and so much safer.  You will love Mr Heater.', ""Small and practical for portable heat when equipped with a disposable bottle, it's even great for a more permanent heat source - just pair this heater up with a hose and a large refillable propane bottle.  It even has a pilot light for easy on and off use.  Two heat settings, 4000 and 9000 BTUs.  The back of the heater stays cool to the touch, so it can be used backed against a wall.  Six stars for this heater."", 'Really nice heater. Relatively easy to operate and has safety features. Heater will not run all night, though with the small propane cylinders. ', ""Love this portable propane heater. Can't wait to take it camping. In the meantime, we use it around the house to warm up and enjoy the heat it produces. If the power goes out, we will stay warm with this heater!"", ""This is a very good product.  What is different about Mr. Heater compared to other small heaters is that it uses 1 lb. propane tanks, thus it does not have to be plugged in or placed near an electrical outlet.  It is easy to use and have a anti tip safety feature that will cut the unit off if the unit is tipped.  Keep on hand a few 1 lb. propane cylinders, and you're good to go.  Very good heater for small spaces and can be used indoors."", 'Great propane heater with 2 settings. I also bought a 12ft hose to connect to a 5 Gallon propane tank. The low setting was enough to warm my 29ft motor home. Perfect.', 'Purchased the additional Mr. Heater 10\' hose (item F273704) that you don\'t have to use a filter and connected it to a 20 lb. bottle of propane.   Easy to light and ran all night on low to keep my greenhouse warm.  I used a 1.5"" PVC water pipe and ran the pipe under the foundation of my greenhouse and then ran the hose through it outside where the tank was located.  For safety reasons, you aren\'t supposed to have the 20 lb. tank inside near the heater.  I cut up an old wash cloth and stuck it inside the pvc pipe to keep bugs and cold air from entering into my greenhouse. So easy to do.  ', 'Product operates exactly as advertised, which nowadays is not always the case. It functions easily and simply. Really like the option to go to larger capacity tank for longer use periods or not having to change out bottles constantly.']","New: A brand-new, unused, unopened, undamaged item in its original packaging (where packaging is applicable). Packaging should be the same as what is found in a retail store, unless the item is handmade or was packaged by the manufacturer in non-retail packaging, such as an unprinted box or plastic bag. See the seller's listing for full details. ",Mr. Heater,Battery,,,MH9BX,Black,,9in.,14.25 in,"F232000, MH9BX",,,,0089301320000,,14.25in.,,,,Heater,,,,,3,,0089301320000,,Copper,20 gal,4000-9000 BTU,Rotary Knob,Heat Pump,,Floor,,6 hrs,,,,,201-250 sq ft,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Corona 23-DK  Kerosene Heater,22800 BTU, Made In Japan , NEW",215.0, , ,"New: A brand-new, unused, unopened, undamaged item in its original packaging (where packaging is applicable). Packaging should be the same as what is found in a retail store, unless the item is handmade or was packaged by the manufacturer in non-retail packaging, such as an unprinted box or plastic bag. See the seller's listing for full details. ",Corona,Kerosene,,,Corona 23-DK,,,,,,,Japan,,,,,,,,Portable Heater,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 70-400-0115 PUMP for Pinnacle 150T and 220T Silent Drive heaters,120.00,48 sold, ,"New: A brand-new, unused, unopened, undamaged item in its original packaging (where packaging is applicable). Packaging should be the same as what is found in a retail store, unless the item is handmade or was packaged by the manufacturer in non-retail packaging, such as an unprinted box or plastic bag. See the seller's listing for full details. ",Pinnacle Products,,,,,,,,,70-400-0115,,,,Does not apply,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mr. Heater MH18B Portable Propane Heater - Red (USED),120.0, ,"[""This heater is fairly large.  Don't expect it to fit under your legs in the bleachers.  The handle is really handy, but makes it pretty tall.This heater is very versatile. It can be like the smaller versions with just one element on at half power, full power, or both elements on full power.  It goes through propane about the same as all the other ones I've seen, and full power is a lot of power.  The fan (powered by D cells) blows warm air in your direction, which is nice because otherwise it just goes straight up.IMHO it's way handier than the smaller bottle mounted version because it doesn't tip easily and it's not as tall.  It puts the heat in a better location.It's not a small heater, but is powerful, well built, and looks like it will last."", 'this id the 2nd one I have owned  first one was 5 years old and used every day it was cold it keeps our coach warm enough on low  and very economicl to run do recomend getting the hose with regolator and using a 20 pound bbq grill tank outside  and keeping a couple of the one pound throw aways in reserve incase of a midnight run out of gas senero , teriffic for those emergencies and blizzards requires no electric to run just a couple batteries to run the fan but will still  produce  het with out fan not operating . has the o2 depletion piliot light that lifts off if o2 level gets to low plus tip switch incase it gets tipped over by accident , Like any heating device care should be taken to assure you are opperating it in a safe manner and following the instructions that states the clearences on ll sides ', 'Current house furnace is out and this unit has filled in amazingly well.  Live in MN and have 2 of these with a couple electric room heaters for 2000 sqft plus home and been heating for a month.  Do recommend the 20# Walmart propane tanks w/ gauge for $48 and conversion hose to unit for more economical heating that the small canisters.  CAn heat for nearly a week.  Have CO monitor and never have had it go off once.  They are made to be CO free .  We do not leave them running when not home for safety reason but never yet had an issue.  ', 'I bought this to be able to work in my 2 car garage during cold days. It works very well. The only drawback I could see is that the fan moves very little air. Otherwise, I would have given it a 5 star rating....  Made the garage able to be worked in with no jacket in about 2 hours (on a 15 degree day)  Well worth it...   And would be great thing to have if an ice storm hits and the power (heat) went out...  Costs less than a buck an hour worth of propane to run on High.  I bought a 15 lb tank and ran it for about 18 hours.....    I plan on getting a couple of portable 1 lb bottles and a refill adapter.....', 'Got Mr. Heater for a heater in my outside work area and as an emergency backup heater in case of power failure in a storm or the heat pump went bad in middle of winter. Works perfect and am using hooked up to 20lb propane tank and also little 1lb tanks. Either way is working perfect.  This thing will run you out of house on 18,000 btu setting.  Always vent from a window or door to keep oxygen fresh and will be good for indoor use, you will still be plenty warm and no worries about any pipes freezing. Great product', ""This little heater is just the ticket for quickly warming up our home on those chilly mornings. ,I live where we seldom get any colder than 40 degrees at night , we don't run any heater at night for safety reasons ,although I feel this heater is safer than any electric one , no cords to overheat . I turn it on in the morning and in 15 minutes the chill is taken off the house. I use a small fan to circulate the heat more than the one that comes with the heater which is efficient for one room.  I also purchased the 12 foot hose and regulator so I can hook to a 30 lbs bottle out side the house. just ran the hose through an existing tv cable  hole. I can get about a week of heat out of one bottle at 16.00 to refill. That is much cheaper than running electric space heaters."", ""The dogs and I have a very comfortable warm environment now that the heater is able to be used. They are so happy that the inside of the motorhome is a lot more comfortable. We have been having nights that are in the upper twenties and low 30s so we're really grateful to have a heater the prize this my cheat on low setting it it basically heats the Whole 30 ft motorhome it generates more than enough heat on low and will run for a hundred hours on that setting .  It is very warm at got my  farm in Coupeville Washington. thanks a lot for a great item!!"", 'I\'ve been hunting deer for 42 years now and never worried about the cold weather when I was younger, mostly because pop-up portable blinds and portable heaters like these were not available back then. But my youngest daughter started hunting with me 6 years ago and after watching her brave a particularly cold opening day her first year I decided there had to be a better setup so she could enjoy going with me and I could insure I would get to continue to enjoy spending such moments with her, so I bought my first ground blind and my first Mr. Heater Little Buddy heater, and closing weekend of rifle season was soooooo much more enjoyable. Having a heat source to warm our feet made all the difference in the world being able to sit beside my daughter and just watch her scan our surroundings for her first deer, and did she take a beauty! After realizing how great the difference in the experience having shelter and heat made, I broke down and bought blinds for my Dad, nephew, and great friend who owns the property where we hunt, and then decided everyone should be able to stay warm and enjoy their time in the field as well, so I retired my Little Buddy heater and bought three of the Buddy heaters and one of the heater/cooker models and stocked each blind with a heater. The difference between the Little Buddy and the bigger Buddy models is very noticeably different! Running the bigger Buddy heaters warmed up a two person ground blind sufficiently enough to allow us to take off our coats, even with several windows open, and sit comfortably without creating undue noise or alerts to the deer as we watched many feed and browse around in the field in front of us. Hunting went from a cold and trying event to a greatly enjoyed experience spending time with my daughter, my Dad, my nephew, and friend! I\'ve always said a bad day hunting or fishing is better than a good day working anytime, but having Mr. Heater Buddy heaters warming our ground blinds has made such a difference in our time spent together so much more enjoyable that now my oldest daughter is joining in, and that alone made any expense paid for the equipment one of my best investments! Funny story: My Dad was using the heater I put in the blind he was using and after spending the morning hunting we all went to breakfast and I asked him how well he liked having heat, and his reply was, ""great for about 20 minutes and then the damned thing quit and wouldn\'t re-light!"" I asked him if he had opened any windows and he said ""no, it wasn\'t light yet so I was just enjoying staying warm, until the heater went out!"" I started laughing and he was taken aback by my reaction and asked why I was laughing, had I played a joke and given him the junk heater? I said no and told him he should be thankful Mr. Heater saved his life! Not knowing what I was referring to he had a puzzled look on his face, so I told him that the heater has a low oxygen sensor built into it and because he had the windows closed up fresh air could not circulate through the blind and the heater shut off before he could pass out from carbon monoxide poisoning! The look on his face was priceless! All he could say was ""glad someone was looking out for him."" After breakfast and getting some chores done we all went back to our blinds and my Dad made sure he opened some windows and lit the heater, and spent the rest of the day happy and warm. Moral of the story: The safety features built into Mr. Heater heaters work! Excellent design, quality built, and smart safety features all make Mr. Heater heaters great products you can trust and that make experiences during cold weather so much more enjoyable, and if having one gets a friend or family member to join in the fun, that\'s money well spent! Not to mention having the added insurance of staying warm at home should the power go out for an extended period of time during cold weather!   So, that\'s my experience with Mr. Heater heaters, and I can and do highly recommend to anyone needing and looking for a quality and dependable portable small heater, get one. You will be glad you did! ', 'Due to recently power outage frequently, I brought this protable heater for indoor use for emergency. I did not have chance to try it for hour long but I did try and find out it is very practical make and workable. Only issue to me is I don’t aware it need 4 D battery to run and how long one will last.Any how it is a very good product,I highly recommend it.', ""Will be able to use it in my fish house, heat my area that I use for skinning and tanning the furs that I've trapped.  Like the fact that I can hook up to a larger propane tank.  The fan is a bonus and the 3 different heating levels are great also.""]",,Mr. Heater,"Electric, Gas, Propane",,Not Electric,Mr. Heater Buddy MH18B,"Red, Gray, Yellow, Black",Indoor/Outdoor,,,"F274805, F274800, F274885, MH18B",,,,0089301004825,,,,,,"Unit Heater, Portable Oil Filled Radiator",,,,,,,,,,,18000,"Rotary Knob, Switch",Radiant,,Garage,Quiet,,,,,,250 to 499 sq ft,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
