Title,Price,Sold,Reviews,Condition,Brand,Power Source,Type,Heating System,Mounting Location,Colour,Material,Number of Heat Settings,Control Style,Model,Voltage,Features,Energy Efficiency Rating,Power,Heating Element Format,Heating Element Material,Annual Fuel Utilization Efficiency (AFUE),Operating Sound Rating,BTU Heating Rating,Area Covered,Item Width,MPN,Energy Efficiency Ratio (EER),Item Depth,Item Length,Tank Capacity,EC Range,Item Height,Item Dimensions,Colormap,Product Type,EAN,Color,Country/Region of Manufacture,Custom Bundle,UPC,Air outlet temperature,Control method,Driving mode,Lamp tube material,Item model number,Manufacturer,Warranty Description,Item Diameter,Assembly Required,Is Discontinued By Manufacturer,Product Dimensions,Material Care Instructions,Country of Origin,Batteries Required?,Item Weight,Department,Heating Method,Item Dimensions LxWxH,Import Designation,Number of Pieces,Specification met,Included Components,ISBN,Year Manufactured,Smart Home Protocol,Current Rating,Smart Home Compatibility,Energy Star,Refrigerant,Timer Control,Tonnage,Air Direction,Manufacturer Warranty,Cable Length,Contents of the package,Manufacturer Part Number,Plug(Option),Gear,Product Size(L * H),Binding,Returns,Shipping Weight,SHIPPING,RETURN,ITEM LOCATION,International buyers,Heating Wattage,Height,Width,Net weight,Overall dimension,Power cord length,Frequency,Package includes,Power (W),Modified Item,Depth,Finish,Size,Model No.,Style,Heater Controls,Wattage (watts),Product Weight (lb),Room Size,Heater Type,Certifications and Listings,Color Family,Product Width (in),Amperage (amps),Indoor/Outdoor,Cord Length (in),Power/Fuel Type,Heating Product Type,Area Heated (Sq Ft),Portable Heater Features,Product Height (in),Product Depth (in),Heat Output (BTU/hour),Heating Technology Type,Voltage (volts),Heating Technology,Manufacturer Color,SKU,Vent Hose Exhaust Configuration,ProductType,Assembled Product Weight,Assembled Product Dimensions (L x W x H),Sport,Product Weight (lb.),Product Depth (in.),Product Length (in.),Area Heated (Sq. Ft.),Heat rating (BTU/hour),Pack Size,Number of Elements,Bulb Type,Mount Location,Product Width (in.),Product Height (in.),Portable Heater Safety Features,Label,PackageQuantity,ProductGroup,ProductTypeName,Publisher,Studio,frequency,Handling Time,Shipping,Satisfaction,Customer Service,International Shipping,Note,PackQty,Heat Output,Power Type,Recommended Location,Hight,Weight,Product Name,Thickness,package_length,item_length,item_width,Package Dimensions,Specific Uses For Product,Batteries Required,Batteries,Is Assembly Required?,Form Factor,Heating Element,Maximum Heat Power,Oscillation,Product Model,Timer,Power Options,Room Coverage Area,ItemHeight,ItemLength,ItemWidth,Weight (Approximate),Product,room_size,indoor_outdoor,product_depth_in,number_of_heat_settings,portable_heater_features,heater_type,voltage_volts,certifications_and_listings,heater_controls,wattage_watts,color_family,power_fuel_type,amperage_amps,portable_heater_safety_features,product_height_in,cord_length_in,product_width_in,area_heated_sq_ft,product_weight_lb,Gift,Energy Rating,Maximum Room Size (sq ft),Duct Compatible Sizes,Room,Housing Width (in),Vent Style,Included,Grill Shape,Mounting,Ventilation System,Number of Bulbs Required,Color/Finish,Product Length (in),Air Volume (CFM),Installation Type,Housing Material,Light Bulb Base Code,Mount Type,Location,Length,Battery Included,ItemPackageQuantity,Bundle Description,Number of Batteries,Battery Size,Motor Type,Battery Capacity,Battery Life,TAX,Handling Time:,Questions,NumberOfItems,Restricted States,Item,Overall Length,Application,Overall Length (In.),Includes,Construction,Phase,Mounting Type,Watts,Screw Size,Voltage Type,Mounting Dimension,Terminals,Sheath Material,Wattage,Assembled Depth (in),Patio Heater Type,Assembled Height (in),Total BTU,Cord Length (ft),Heating Area (sq ft),Outdoor Living Product Type,Fuel Type,Assembled Width (in),Connectivity,Dosage,Format,Compatible Brand,Compatible Model,Author,Book Tittle,Language,GTIN,BTU,Model Number,Cord Length,BTU Output,Cooling Method
Bajaj RHX Room Heater 2 Heat Setting Noiseless Operation Dual Safety Assurance,, , ,"New: A brand-new, unused, unopened, undamaged item in its original packaging (where packaging is applicable). Packaging should be the same as what is found in a retail store, unless the item is handmade or was packaged by the manufacturer in non-retail packaging, such as an unprinted box or plastic bag. See the seller's listing for full details. ",Bajaj,Electric,Heater,Fan,Floor,,Ceramic,,Switch,RHX 2 Halogen,,Auto Shut-off,,800 W,,,,,,,19.5 Cm Approx,Does not apply,,,36 Cm Approx,,,,,,,,White,India,No,Does Not Apply,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,42.5 Cm Approx,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12V/24V 300W-1000W Adjustable Frequency Conversion Car Portable Electric Heater,,30-day returns, ,"New: A brand-new, unused, unopened, undamaged item in its original packaging (where packaging is applicable). Packaging should be the same as what is found in a retail store, unless the item is handmade or was packaged by the manufacturer in non-retail packaging, such as an unprinted box or plastic bag. See the seller's listing for full details. ",Unbranded,"Electric, Fan",Combination Heater,,,,,,,,,,,300W-1000W,,,,,,,,Does Not Apply,,,,,,,,,,,White,,,,about 80 degrees,Manual,Standalone,Quartz tube,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
KAKAO FRIENDS MINI Heater Ryan & Choonsik 220V 500W,91.24,60-day returns, ,"New: A brand-new, unused, unopened, undamaged item in its original packaging (where packaging is applicable). Packaging should be the same as what is found in a retail store, unless the item is handmade or was packaged by the manufacturer in non-retail packaging, such as an unprinted box or plastic bag. See the seller's listing for full details. ",KAKAO FRIENDS,,Mini Heater,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Dose not apply,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bajaj RHX Room Heater 2 Heat Setting Noiseless Operation Dual Safety Assurance,, , ,"New: A brand-new, unused, unopened, undamaged item in its original packaging (where packaging is applicable). Packaging should be the same as what is found in a retail store, unless the item is handmade or was packaged by the manufacturer in non-retail packaging, such as an unprinted box or plastic bag. See the seller's listing for full details. ",Bajaj,Electric,Heater,Fan,Floor,,Ceramic,,Switch,RHX 2 Halogen,,Auto Shut-off,,800 W,,,,,,,19.5 Cm Approx,Does Not Apply,,,36 Cm Approx,,,,,,,,White,India,No,Does not apply,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,42.5 Cm Approx,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Lasko 755320 Ceramic Space Tower Heater, 8.5″L x 7.25″W x 23″H, Silver",94.97,30-day returns,"[""Had one of these for several years to heat an office work space in my home. Did a great job.  Wanted another small heater for another room on another floor so i didn't have to carry the one I had up /down stairs. Decided to get another Lasko  similar to what i had, rather than risk another brand/model. This Lasko is  reliable, heats quickly, has auto off and an oscillation feature. All pluses and it's light weight.  Can't say it's energy efficient. No small electric heaters are. Heater arrived quickly.  Several days before the targeted delivery date. "", ""With the high cost of propane,  I was looking for a way to help cut some cost. I bought two heaters. The other one is already in storage, (does not work nearly as good as this unit). So far our coldest day has only been down in the mid 30's. With this heater, until it dropped that cold, our Propane hed never needed to kick on once. This is a GREAT Little Heater for Full Time RV'ers, or anyone whom wants to cut down there gas/propane heating bill. Were due to start getting colder weather, So I am now looking for a second heater to help the one we have to heat our 33 foot 5th wheel RV. "", 'This heater is quiet, has hi and lo settings.  Unlike some heaters, As far as I can tell, it does not have an automatic shut off when it tips over, which is a nice safety feature. I have had another Lasko heater for several years, and it has been dependable.', 'I now own 3 of these heater and love them. I live in a rural area with propane being my main source of heat, but I installed solar making electric heat cost effective. I run these in rooms we occupy instead of using propane to heat in needed areas. The on-off range of these heaters is about 3-4 degrees. The run very quiet to the point they are quieter than our tower fan that we use in the summer. Great product and now to see how long it will last.', ""This is the second one of these I have purchased.  I purchased the second because I was so impressed with the features and functioning of the first.  It has a remote (I haven't even used), on-off timer up to 8 hours, one direction or variable direction heating and most important, an accurate thermostat control.  I first started using the original purchase to keep my garage above freezing during low temperature cold spells.  That showed me what a great functional heater this was for any area of the house where additional heat is required."", ""I'll know in a month if this unit is truly energy efficient as I've been using it more than my furnace in the evenings.The only complaint I have is the thermostat may not be accurate. I'll set it for auto shut off when it reaches 70 degrees  but it never seems to get past 67 degrees so it keeps running. When I check the temp on my furnace's thermostat it reads 71 degrees so I know it's heating- just not reaching the correct temp internally to auto shut off.It's relatively quiet and heats a large room up in about 30 mins. or less provided all the windows and doors are closed to hold the heat in. My cats still freak out and won't go near it, especially when it oscillates. Funny stuff!"", ""This little heater is great as a heat supplement for a decent size room (and have actually used it to heat multiple rooms at the same time). Sturdy, safe, and the remote is quite convenient! The internal thermostat can be a little wonky depending if you're opening or closing a bunch of doors, or if people are walking by it constantly, but it straightens itself out fairly quickly. Happy enough with this product that I bought another one for my office!"", ""It's a great heater no question very good quality but I was under the impression it was a fan/heater but there is no just fan feature on it and I know they are made but not this one 😩 as the description of it let me to believe"", ""I love this heater since you can set the temperature you want, light weight for moving and has a remote control for setting the desired temperature. It's just a great heater for bathroom or bedroom and I love it."", ""It's a LASKO first off, and second it's CERAMIC material which is The best to provide The correct amount of heat when set without overheating The Unit at The same time! Third, It comes with A REMOTE CONTROL!. Forth, The Unit OSCILLATES Back, and Forth to heat entire Area, and has The Usual Digital Display on Top of The Heating Unit. The Oscillation can be Set by The Remote as well. PROS: Great Designed Unit. CONS: NONE That I have Found Yet!""]","New: A brand-new, unused, unopened, undamaged item in its original packaging (where packaging is applicable). Packaging should be the same as what is found in a retail store, unless the item is handmade or was packaged by the manufacturer in non-retail packaging, such as an unprinted box or plastic bag. See the seller's listing for full details. ",Lasko,Corded Electric,Tower Heater,,,,Ceramic,,,755320,,,,,,,,,,,,755320,,,,,,,,,,,Silver,,,707568281055,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,755320,,,,,,,,,,,,,,,,,,,,,,,,,Convection,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,23,8.5,7.25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lasko 5588 Ceramic Built-In Portable Tower Heater with Remote 34 in. - open-box,92.38, ,"['I really like this heather. My room gets warm very quickly and is very safe for pets, since it is not infrared and there is not fire. My cat loves it!', 'I would highly recommend this fan, this is a great price.  This fan is extremely reliable and can heat a large room very quickly and does not take up a lot of room. I have 3 of them.', 'I did recommend and family member did purchase based on my recommendation. ', 'The box was in bad shape but the item was new and works great, the height is great for a bed that sets high.', 'excellent product., it is my second purchase as it is very durable and quiet', 'easy and efficient', 'All good', 'They came scuffed but besides that they work good!', 'Great heater! LOVE Lasko brand( have the fans for summer).', 'Great']",,Lasko,Electric,Tower Heater,,,,Ceramic,2,"Remote Control, Digital",Lasko,110 V,"Oscillation, Timer",,,,,,,,,9.25,5588,,,7.75,,,35.5,,,,,Gray,,,046013762825,,,,,,LASKO,,,,,,,,,12.1,,,,,,,,,,,,,,,,,,,,,5588,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Quartz Tower Heater, 13 1/4""w x 10 1/8""d x 23 1/4""h, Black ALEHEQZ23",93.71,30-day returns, ,"New: A brand-new, unused, unopened, undamaged item in its original packaging (where packaging is applicable). Packaging should be the same as what is found in a retail store, unless the item is handmade or was packaged by the manufacturer in non-retail packaging, such as an unprinted box or plastic bag. See the seller's listing for full details. ",Alera,,"Home & Garden > Home Improvement > Heating, Cooling & Air > Air C",,,,Make your cold space comfortable quickly with this quiet tower he,,,Alera,,Make your cold space comfortable quickly with this quiet tower he,,,,,,,,,12.200,HEQZ23,,,15.200,,,,,,,,,,,042167200343,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BLACK + DECKER Infrared Quartz Tower Manual Control Heater - Black,95.0, , ,"Open box: An item in excellent, new condition with no wear. The item may be missing the original packaging or protective wrapping, or may be in the original packaging but not sealed. The item includes original accessories. The item may be a factory second. See the seller's listing for full details and description. ",BLACK+DECKER,Electric,Tower Heater,Infrared,"Window, Floor",,"Steel, Ceramic, Aluminum",1,"Switch, Touch, Dial",BHTI06,120 V,,,1001-1500 W,Coil,Steel,80-85%,Standard,5000-5999 BTU,451-500 sq ft,,BHTI06,,,,,,,,,,,Black,,,0819813016166,,,,,,,,,,,,,,,,,,,,,,,,2019,Infrared,,,,,,,,,100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2-In-1 Space Radiant Heater - 120° Oscillation Infrared Heater for Indoor 150...,94.59, , ,"Open box: An item in excellent, new condition with no wear. The item may be missing the original packaging or protective wrapping, or may be in the original packaging but not sealed. The item includes original accessories. The item may be a factory second. See the seller's listing for full details and description. ",TRUSTECH,,,,,,,,,Does not apply,,,,,,,,,,,,Does not apply,,,,,,,,,,Does not apply,Black,,,Does not apply,,,,,,,,,,,,,,,,,,,,,,,6937590202177,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Cage,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Oil-Filled Electric Space Heater Radiator Silent Operation 3 Heat Settings White,92.49,30-day returns, ,"New: A brand-new, unused, unopened, undamaged item in its original packaging (where packaging is applicable). Packaging should be the same as what is found in a retail store, unless the item is handmade or was packaged by the manufacturer in non-retail packaging, such as an unprinted box or plastic bag. See the seller's listing for full details. ",comfort zone,"Oil, Electric",Portable Oil Filled Radiator,,Floor,,"Aluminum, Steel",3,"Rotary Knob, Switch, Analog/Mechanical",Comfort Zone CZ8008,120 V,,,1001-1500 W,Coil,Steel,,,5000-5999 BTU,951-1000 sq ft,,CZ8008,,,,1 gal or Less (5 L),,,,,,Does not apply,White,,,075877122551,,,,,,,,,,,,,,,,,,,,,,,Does not apply,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Rol Sovereign 22” Digital Oscillating  Tower Heater (Hce-220), White",94.96, , ,"New: A brand-new, unused, unopened, undamaged item in its original packaging (where packaging is applicable). Packaging should be the same as what is found in a retail store, unless the item is handmade or was packaged by the manufacturer in non-retail packaging, such as an unprinted box or plastic bag. See the seller's listing for full details. ",Unknown,,Does not apply,,,,,,,Does Not Apply,,,,,,,,,,,,Does Not Apply,,,,,,,,,,0711181396881,Does Not Apply,,,726084473720,,,,,,Royal Sovereign,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
110V Portable Heater Desktop Handy Quick Heating Home Electric Heaters 850-1199W,90.0,30-day returns, ,"New: A brand-new, unused, unopened, undamaged item in its original packaging (where packaging is applicable). Packaging should be the same as what is found in a retail store, unless the item is handmade or was packaged by the manufacturer in non-retail packaging, such as an unprinted box or plastic bag. See the seller's listing for full details. ",Unbranded,"Electric, Fan",Portable Heater,Coill,"Baseboard, Desk/Tabletop, Floor, Wall",,"Plastic, ABS, PBT",2,"Rotary Knob, Switch",,110 V,Oscillation,,850-1199 W,Coil,Stainless Steel,,,,20㎡,0.83 kg,Does Not Apply,,,,,,,,,,,,China,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1-Way,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Arlec 2000W Oil Free Heater With Remote Control - CH239,123.6,30-day returns, ,New,Arlec,Electric,N/A,N/A,N/A,N/A,N/A,N/A,N/A,CH239,N/A,N/A,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,,,,,,,,,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Costway 1500W Oil-Filled Heater Portable Radiator Space Heater W/ Adjustable,94.99, , ,"New: A brand-new, unused, unopened, undamaged item in its original packaging (where packaging is applicable). Packaging should be the same as what is found in a retail store, unless the item is handmade or was packaged by the manufacturer in non-retail packaging, such as an unprinted box or plastic bag. See the seller's listing for full details. ",Costway,Not Specified,Not Specified,,,,Not Specified,,,,Not Specified,Not Specified,,,,,,,,,17.170,,,,28.690,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Not Specified,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Amaze-Heater Mini 250-Watt Electric Convection Room Heater - AH250USM,92.72,30-day returns, ,"New: A brand-new, unused, unopened, undamaged item in its original packaging (where packaging is applicable). Packaging should be the same as what is found in a retail store, unless the item is handmade or was packaged by the manufacturer in non-retail packaging, such as an unprinted box or plastic bag. See the seller's listing for full details. ",Amaze Heater,,Space Heaters,,,,Durable,,,,,,,,,,,,,,21,AH250USM,,,26,,,3,,,,,As Shown,,,854208008135,,,,,,,,,,,,,,,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AH250USM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Modern Durable 1500W 7-Fin Portable Electric Oil Filled Radiator Heater,, , ,"New: A brand-new, unused, unopened, undamaged item in its original packaging (where packaging is applicable). Packaging should be the same as what is found in a retail store, unless the item is handmade or was packaged by the manufacturer in non-retail packaging, such as an unprinted box or plastic bag. See the seller's listing for full details. ",Unbranded,,,,,,,,,,,,,,,,,,,,N/A,EP24077,,,N/A,,,N/A,,,,,,,,Does not apply,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NEW Lasko 5572 Room Heater Convection Ceramic Tower,94.98, ,"['I purchased the Lasko 5397 oscillating heater for my mom several years ago +- 5 YEARS AGO. She uses it almost year round because she is always cold. She lives in San Fransisco and if you know anything about Mark Twain you know he said the coldest winter he ever spent was a summer in S.F. She called me and informed me that the  \t5397  was making funny noises and had a weird smell. I went over and discovered that it was shorting out. While in the off mode, the top of the unit was getting hotter than it does when it is in use. I took it out of the house and replaced it with the Lasko 5572. I purchased it only a few days ago but already I can tell she likes it even better. The 5397 comes on a pedestal stand. This one pivots at the floor. Because it pivots at the floor, the heat reaches down further on her legs thus she is happier. Don\'t be fooled by the photo, the heating element does NOT come all the way down to the floor but it does come down further then the previous oscillating heater. Both models work great and both have a remote control but this one edges out the other just by the fact that it has a ""longer"" heating element. I love the fact that even when on for 4 hours at the highest setting, if she accidentally bumps up against it or brushes up against it she won\'t burn herself like she would with one of those dish looking heaters. You can touch ANY PART of these ""Ceramic"" heaters (while they are operational and functioning) and NOT burn yourself.', 'I have used a wood furnace for 30 years, but now to old to handle the wood. I purchased the Lasko 5572 heater to see if I could use it to help heat my house. As I had 220 baseboard heaters installed knowing I must give up the wood heat. I was totally supprised with the Lasko heater, it not only helped the baseboard heater,it took the place of the 220 baseboard heater. I had origanly purchased one Lasko heater to try in one room. After the great job it did, I purchased three  more of them. I finished up the winter, heating with the Lasko heaters.  I would recommend them to anyone needing a heater. And If I have to replace any one of the heaters I have, it will be with a Lasko 5572 heater.HJ of Missouri', ""We were absolutely thrilled with the size and capability of this room heater.  It's a little taller than the other Lasko portable heater and our decision to get it was a good one. For our needs, this one is perfect. "", 'I really enjoy my heater.  I live in Arizona where it is getting cooler at night now.  It is very efficient and quiet.', 'Heats small area immediately in the morning, with an increase of 5-10 degrees in temperature within 15 minutes.  Easy to operate, with remote.  As usual: follow directions in the manufacturers manual for best results!', ""Wow, does this put out some heat, and like now..  Don't have to wait for anything to warm up  immediate heat..  2 modes low 900w and high 1500w..  Plus you can set it from 39 degrees to 90 degrees and to kick on automatically if room gets below set temp..  This can almost heat my whole house..  Will prob heat at least 3 rooms.Led readouts are bright and clear, fan, remote, oscillates, has real buttons, not plastic film that will wear out, and stands tall.  Has handle for easy moving.. With gas prices doubling this winter, I'm turning to a space heater so I can lower the thermostat.. "", 'great heater, used it all winter, no problems, good price, fast delivery', ""I don't have this exact model, but I have two similar Lesco 1500w heaters w/digital displays w/remotes.  I bought the second one because one of our tenants lost the remote.  One is #5165, the other one is #755320, the only complaint I have on this model is I had to stick a piece of foam tale on the top of the carrying slot in back so my finger wouldn't slip out of the carrying slot when carrying the heater.  The other heater's slot is angled so your fingers don't slip out.  The one remote does control either heater.  I recommended my satisfaction to a friend and he bought one and is happy with it.  I don't know his model #. I've had the first hater 5 yrs and the second one 2 yrs and both work great."", ""Great heater. Warms my garage better than expected. I'm not scared to leave it on all night unattended."", ""Dose everything it's said it could do""]","New: A brand-new, unused, unopened, undamaged item in its original packaging (where packaging is applicable). Packaging should be the same as what is found in a retail store, unless the item is handmade or was packaged by the manufacturer in non-retail packaging, such as an unprinted box or plastic bag. See the seller's listing for full details. ",Lasko,Electric,Tower Heater,,,,Ceramic,,"Switch, Remote Control, Digital",5572,120 V,"Timer, Oscillation",,,,,,,,,7.3,5572,,,,,,,,,Convection Heater,0046013761491,"Silver, Gray, Black",,,046013761491,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,29,,,,,,,,,9.2,,,,,,,,,,,,,,,,,,,,,,,,,,,5572,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Tower,Ceramic,1500 W,,5572,,,,,,,11.13 lb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lasko Space Heater Digital Display Tower Electric Ceramic Oscillating 1500 Watt,94.95, , ,"New: A brand-new, unused, unopened, undamaged item in its original packaging (where packaging is applicable). Packaging should be the same as what is found in a retail store, unless the item is handmade or was packaged by the manufacturer in non-retail packaging, such as an unprinted box or plastic bag. See the seller's listing for full details. ",Lasko,,,,,,,,,,,,,,,,,,,,,Does not apply,,,,,,,,,,,,,,Does Not Apply,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
