Title,Price,Sold,Reviews,Condition,Item Width,Energy Efficiency Rating,Tank Capacity,Energy Efficiency Ratio (EER),Item Length,EC Range,Annual Fuel Utilization Efficiency (AFUE),EAN,Power Source,Number of Heat Settings,MPN,Year Manufactured,Material,Item Depth,Heating Element Format,Colour,Brand,Heating Element Material,BTU Heating Rating,Type,Control Style,Heating System,Voltage,Model,Area Covered,Features,Mounting Location,Operating Sound Rating,Power,UPC,Color,Cable Length,Smart Home Protocol,Country/Region of Manufacture,Manufacturer Warranty,Location,ISBN,Timer Control,Power (W),Unit Type,Design,Voltage Supply,Energy Star,Package Contents,Custom Bundle,Modified Item,Style,Recommended Environment,Room,Heating Wattage,Unit Quantity,Manufacturer Part Number,ItemWidth,ItemLength,ItemHeight,For Use With,Item Height,Country of Origin,Tonnage,Function,Heating Element,Installation,Number of Speed Settings,Plug Type,Size,SKU,Temperature Range,Timing Time,Use,Weight,Wind Speed,Application,Area Heated,Certification,Colors,Electric Heater Type,Width,Manufacturer,Item Weight,Smart Home Compatibility,Manufacturer Color,Heating BTU,Air Direction,Current Rating,Tube Size,Applications 1,Applications 2,Applications 3,Product Name,Annual Fuel Utilization Efficiency,Energy Efficiency Ratio,Function3,Function4,Function5,Function6,Function7,Function8,Origin,Power Mode,Volume,Function1,Function2,Heating Method,Item Dimensions LxWxH,Heat Output,Wind Mode,Heater Size,ProductType,Prop65_fl,Prop65Warning,Heater Style,Power Type,Assembled Product Weight,Assembled Product Dimensions (L x W x H),Recommended Location,Number of Cool Speeds,Compressor Type,Length,Height,Heating appliance type,Operation mode,Rated voltage,Speed adjustment gear,Temperature setting,Timing function,Voltage (V),Air supply mode,Key Word,Key Word 2,Key Word 3,Key Word 4,Refrigerant,Video of unit turned on,ProductGroup,Battery Included,Bundle Description,Battery Size,Depth,Number of Batteries,Battery Capacity,Battery Life,Motor Type,SHIPPING,RETURN,ITEM LOCATION,International buyers,Department,Binding,Studio,Publisher,ProductTypeName,PackageQuantity,NumberOfItems,Label,Handling Time,Shipping,Satisfaction,Customer Service,International Shipping,Returns,Note,Voltage:,Application area:,Model No.,Item model number,Product Dimensions,manufacturer_part_number,Shape,Dimension(ID*H),Power Tolerance,Product Weight (lb.),Power/Fuel Type,Area Heated (Sq. Ft.),Wattage (watts),Heater Type,Cord Length (in.),Heating Technology Type,Amperage (amps),Room Size,Portable Heater Features,Certifications and Listings,Product Height (in.),Voltage (volts),Temperature,Wire Length,Function 1,Function 2,BTU Cooling Rating,Contents of the package,Power:,Gift,news,Offer,STORE,Refund,Return,Quality,Handling,Money Back,Ships from,cancel order ?,add to watchlist,orders outside USA,How to get great offer ?,Batteries Required?,Package Dimensions,Shipping Weight,item_width,item_length,Domestic Shipping,Size Type,Item name,Rated power,Power cord length,New Title,Assembled Width (in),Firebox Width (in),Assembled Height (in),Area Heated (Sq Ft),Power Connection,Mount Type,Color Family,Firebox Height (in),Included,Product Weight (lb),Assembled Depth (in),Firebox Depth (in),Heat Output (BTU/hour),Surround Material,Assembly Required,Total BTU,Heating Wire Material,Adjustable temperature,Applicable Area,Time Setting,Dimensions
"CADET 2F350W Elctrc Baseboard Heater,24"" L,208/240V",47.23,9 watchers,"['Works great  not an electrician but it was pretty easy to figure it out ', 'I purchased two. Only installed one at time of this review. The one installed works great. Not noisy at all. ', 'Very nice, compact, size the right size.', 'Good product', 'Arrived quick', 'It ok']","New: A brand-new, unused, unopened, undamaged item in its original packaging (where packaging is applicable). Packaging should be the same as what is found in a retail store, unless the item is handmade or was packaged by the manufacturer in non-retail packaging, such as an unprinted box or plastic bag. See the seller's listing for full details. ",,,,,,,,0027418099495,Electric,1,2F350W,,Steel,,,,Cadet,,,Baseboard Heater,Touch,,240 V,2F350W,,,Wall,,,027418099495,White,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 , , , ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NEW Comfort Zone Black 800 Watt Home Office RV Small Electric Fan Space Heater,47.97,30-day returns, ,"New: A brand-new, unused, unopened, undamaged item in its original packaging (where packaging is applicable). Packaging should be the same as what is found in a retail store, unless the item is handmade or was packaged by the manufacturer in non-retail packaging, such as an unprinted box or plastic bag. See the seller's listing for full details. ",,,,,,,,,"Electric, Fan",,CZ460BK,,,,,,comfort zone,,,,,Forced Air/Fan,,Comfort Zone CZ460,,,,,,,Black,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Climastar Part for Bathroom Space Heater TOA 350/700, Aluminum Towel bar 23""",49.99, , ,"New: A brand-new, unused, unopened, undamaged item in its original packaging (where packaging is applicable). Packaging should be the same as what is found in a retail store, unless the item is handmade or was packaged by the manufacturer in non-retail packaging, such as an unprinted box or plastic bag. See the seller's listing for full details. ",23 in,,,,,,,,,,,,Aluminum,,,,Climastar,,,Space Heater,Rotary Knob,,120 V,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Portable Electric Space Heater 1500W/750W Personal Room Heater with Thermostat, ",46.9, , ,"New: A brand-new, unused, unopened, undamaged item in its original packaging (where packaging is applicable). Packaging should be the same as what is found in a retail store, unless the item is handmade or was packaged by the manufacturer in non-retail packaging, such as an unprinted box or plastic bag. See the seller's listing for full details. ",,,,,,,,0313100188180,AC,,,,,,,,Does not apply,,,Does not apply,,,,,,,,,,313100188180,Silver,,,,,,Does not apply,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Forced Air,8 x 6 x 10 inches,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kismile Small Space Heater Electric Portable Heater Fan for Home and Office Cera,45.29, , ,"New: A brand-new, unused, unopened, undamaged item in its original packaging (where packaging is applicable). Packaging should be the same as what is found in a retail store, unless the item is handmade or was packaged by the manufacturer in non-retail packaging, such as an unprinted box or plastic bag. See the seller's listing for full details. ",,,,,,,,0313056452427,Corded Electric,,,,,,,,Does not apply,,,Does not apply,,,,,,,,,,313056452427,Black,,,,,,Does not apply,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.1 Inch,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Convection,,1500 Watts,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1500W Electric Space 3s Fast Heater Fan Portable Home Office Adjustable Heater,46.59, , ,"New: A brand-new, unused, unopened, undamaged item in its original packaging (where packaging is applicable). Packaging should be the same as what is found in a retail store, unless the item is handmade or was packaged by the manufacturer in non-retail packaging, such as an unprinted box or plastic bag. See the seller's listing for full details. ",6.5 in,,,,8.3 in,,,,Electric,2,Does not apply,,Iron+PTC Heater,9.8 in,Coil,,iMountek,Stainless Steel,,Fan Heater,Switch,Convection,110 V,,107.6-215.3sq.ft,"3 Adjustable Modes, 3s Fast Heating & Quiet, 90 Degree Rotatable, Oscillating","Desk/Tabletop, Floor",51-60 dB,1500W,Does not apply,Black+Yellow,4.6ft,,,,,,,,,,,,,,,,,,,,,,,,,,,9.4x10.6x8in,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Natural Wind/Low Heat/High Heat,8.3x9.8x6.5in,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cadet 09950 White Powder Coated Baseboard Electric Wall Heater 100 sq. ft.,50.0,40 sold, ,"New: A brand-new, unused, unopened, undamaged item in its original packaging (where packaging is applicable). Packaging should be the same as what is found in a retail store, unless the item is handmade or was packaged by the manufacturer in non-retail packaging, such as an unprinted box or plastic bag. See the seller's listing for full details. ",7.30,,,,3.10,,,,Electric,1,9950,,Steel,,,,Cadet,,,Baseboard Heater,Switch,,240 V,Cadet,,,Wall,,,027418099501,White,,,,,,,,,,,,,,,,,,,,,09950,,,,,34.0,,,,,,,,,,,,,,,,,,,,,CADET,6.40,,,,,,,,,,,,,,,,,,,,,,,,,,,,,New,Y,California residents see Prop 65 WARNINGS: This pr,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"CADET 2F500-1W Electric Baseboard Heater 30"" L 120V White",49.95, ,"[""I was looking for a heater that would go well in our mud room. After looking through a bunch of baseboard heaters, i came across this one. It fits perfectly in the space we have and is very easy to install. It works best with the cadet thermostat which I'm waiting for. (I ordered from two separate sellers) The heater arrived early, and the stat should be here today, per the tracking orders. The stat connects right on the heater, so if you have already installed the 120v wire, you won't need to install low voltage wire to work the baseboard heater. "", ""Price is great, and installation was simple.. Purchased the separate, attached thermostat with OFF mode. Double pole thermostat - yes, works for 110V just fine.  Wiring instructions included with thermostat. Using it to heat a 10'x17' laundry room.  Works very well.  I'm also not one to have it heat to 80 degrees in the winter..  68 to 70 degrees is fine.  Temperatures go down to the upper 30s to 40s."", ""Great Heater's perfect for on demand heat where u have access to electricity. They give off a smell for the first use so I would recommend leaving a window open and let them run to vent off that first time use smell. "", 'Simple heat source made as well as is needed for most situations. Not over built, but safe and it works.', 'Was not damaged in shipment, exactly the correct product needed for the job, it has been installed and is working well.', 'Good product, easy to install ', 'This doesnt heat the room as expected. It barely heats at all . I will never buy this product again and to be honest I regret buying it.', 'This item is the heater only it does not come with a thermostat or anything!! ThT should be made clear. You have to buy additional things for it to work properly.', 'good service']",,30 in,,,,,,,,Electric,1,"2F500-1W, 2F5001W",2018,Steel,,,,Cadet,,,Baseboard Heater,Switch,,120 V,2F500-1W,,,Wall,,,0027418055309,White,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HOLMES CERAMIC  Compact Space Heater 1500 Watts 120VAC PB,49.5,5 watchers, ,,6 INCH,,N/A,UNKNOWN,8 INCH,A – G,1,,"120 VAC, SINGLE FAN, Electric",2,Does Not Apply,,Ceramic,6 INCH,Strip,,Holmes,Steel,Less Than 2000 BTU,Portable Heater,"Thermostat, ON/OFF SWITCH, Analog/Mechanical, Rotary Knob, Switch",Forced Air/Fan,120 V,HCH4163,9 X 12 ROOM,"THERMOSTAT, 2 SPEED FAN FOR HEAT, SELECT FAN ONLY, Auto Shut-Off","Portable, Desk/Tabletop, Floor",None,1001-1500 W,Does not apply,Gray,,,,,,,,,,,,Not Compliant,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,PORTABLE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Vintage DURACRAFT CZ-306 Small Forced Air Ceramic Desktop Portable Space Heater,, , ,,6 in,,,,7 in,,,,Electric,2 plus fan only,,,Ceramic,5 in,,,DuraCraft,Ceramic,,Portable Heater,Dial,Forced Air/Fan,120 V,CZ306,100 sq ft or Less,,"Baseboard, Desk/Tabletop, Floor",Standard,1001-1500 W,Does Not Apply,Brown,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NEW!!  PELONIS 40-inch Tower Fan with 90* Oscillation,49.99, , ,"New: A brand-new, unused, unopened, undamaged item in its original packaging (where packaging is applicable). Packaging should be the same as what is found in a retail store, unless the item is handmade or was packaged by the manufacturer in non-retail packaging, such as an unprinted box or plastic bag. See the seller's listing for full details. ",,,,,,,,,Electric,,,,,,,,Pelonis,,,Tower Fan,Push Button,,120 V,FZ10-18TRB,,Oscillation,Floor,,,810049710309,Black,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1 NOS perfection 500 Heater wick,50.0,12 watchers, ,"New: A brand-new, unused, unopened, undamaged item in its original packaging (where packaging is applicable). Packaging should be the same as what is found in a retail store, unless the item is handmade or was packaged by the manufacturer in non-retail packaging, such as an unprinted box or plastic bag. See the seller's listing for full details. ",,,,,,,,,,,,,,,,,Perfection,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Comfort Heat Oscillating Ceramic Tower Heater. Model #CZ460WT.,49.99, , ,"New: A brand-new, unused, unopened, undamaged item in its original packaging (where packaging is applicable). Packaging should be the same as what is found in a retail store, unless the item is handmade or was packaged by the manufacturer in non-retail packaging, such as an unprinted box or plastic bag. See the seller's listing for full details. ",7.25 in,,,,,,,,Electric,2,CZ430WT,,Ceramic,6 in,,,Comfort Zone,,5000-5999 BTU,Tower Heater,,,120 V,CZ430WT,Medium Room,"Tip Over Cutoff Switch, Oscillation",Floor,,1500 Watts,075877125545,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
500W Warm Air Heater Mini Portable Desktop Indoor Home Office White Us Plug C1,46.70,30-day returns, ,"New: A brand-new, unused, unopened, undamaged item in its original packaging (where packaging is applicable). Packaging should be the same as what is found in a retail store, unless the item is handmade or was packaged by the manufacturer in non-retail packaging, such as an unprinted box or plastic bag. See the seller's listing for full details. ",See description,,,,,,,,See description,See description,,,See description,,See description,,Unbranded,See description,See description,See description,See description,See description,See description,See description,See description,See description,See description,See description,See description,Does not apply,See description,,,,,,,,,,,,See description,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,See description,See description,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"TEMPCO CSH00174 Strip Heater,240V,12 In. L,1200 Deg F",45.86, , ,"New: A brand-new, unused, unopened, undamaged item in its original packaging (where packaging is applicable). Packaging should be the same as what is found in a retail store, unless the item is handmade or was packaged by the manufacturer in non-retail packaging, such as an unprinted box or plastic bag. See the seller's listing for full details. ",,,,,,,,,,,CSH00174,,,,,,TEMPCO,,,,,,,CSH00174,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2Pcs Warm Tool Insulated PTC Ceramic Air Heater 200W Incubator Heater Incubation,46.99,30-day returns, ,"New: A brand-new, unused, unopened, undamaged item in its original packaging (where packaging is applicable). Packaging should be the same as what is found in a retail store, unless the item is handmade or was packaged by the manufacturer in non-retail packaging, such as an unprinted box or plastic bag. See the seller's listing for full details. ",,,,,,,,,Electric,,,2021,"PTC Thermistor, Aluminum",,,,Unbranded,,,Patio Heaters,,,12 V,,,,,,,,Multicolor,,,,,,,,,,,,,,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Nero 2000W Portable Fan Heater Lightweight Fast Temperature Relief Safety Switch,64.95,30-day returns, ,New,8.6 in,,,,,,,9314387001781,"Fan, Electric",1,749002,2000,,5.1 in,Coil,White,Nero,Copper,Less Than 2000 BTU,"Tower Heater, Fan Heater",Push Button,Forced Air/Fan,,749002,10 sq m or Less,"Portable, Auto Shut-off, Adjustable",Floor,,2000W,9314387001781,,,,,,,,,,,,,,,,,,,,,,Does not apply,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2-Way,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Heat Dish 1000w Parabolic Space Heater w/Ceramic Heating Technology w/warranty,45.95, , ,"New: A brand-new, unused, unopened, undamaged item in its original packaging (where packaging is applicable). Packaging should be the same as what is found in a retail store, unless the item is handmade or was packaged by the manufacturer in non-retail packaging, such as an unprinted box or plastic bag. See the seller's listing for full details. ",,,,,,,,,Electric,,,,Ceramic,,,,Konwin,,,Portable Heater,,,120 V,1000watt,,,,,,6937590210004,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Dreo 1500W Space Heater, 70° Oscillating Electric Heater with Digital Thermostat",45.99,Last item available, ,"New: A brand-new, unused, unopened, undamaged item in its original packaging (where packaging is applicable). Packaging should be the same as what is found in a retail store, unless the item is handmade or was packaged by the manufacturer in non-retail packaging, such as an unprinted box or plastic bag. See the seller's listing for full details. ",,,,,,,,,Electric,,,,,,,,Dreo,,,Does not apply,,Forced Air/Fan,,,,,,,,7445005849811,Black,,,,,,,,,,,,,,,,,,,,,WDR-SH004,,,,,,,,,,,,,,,,,,,,,,,,,,Dreo,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Electric,3.8 lb,6.70 x 5.50 x 10.30 Feet,"Indoor,Bedroom,Office",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pelonis Safe-T-Furnace 1500W Portable Ceramic Heater Tested,49.99, ,"[""First impression is: it's HEAVY. I like heavy. 90% of the space heaters on the market are flimsy units with cheap thermostats that burn out in a year because they're constantly kicking on &amp; off. The Pelonis is a ceramic design which appears much more durable. The control knobs turn smoothly - no shortcuts were taken with parts. Best for rooms where you want to maintain a constant temperature, but it doesn't mind being cranked up either.If you have to shut it off, I recommend switching to FAN for a few minutes as a cool-down cycle.I got my first Pelonis brand-new in the box for $5 at a yard sale. I knew I needed to get another!"", 'The original pelonis heater I had last 32 years. I bought another one identical to the original. ', 'Great heater...this is the second one I own...', 'It’s working. All that matters.', 'Works great!', 'excellent thank you']",,,,,,,,,,Electric,Variable,,1988,Ceramic,,Coil,,Pelonis,,Less Than 2000 BTU,Portable Heater,"Dial, Rotary Knob, Switch",Furnace,120 V,1500W,551-600 sq ft,,"Baseboard, Cabinet, Desk/Tabletop, Floor",None,1001-1500 W,,Brown,,HomePlug,Taiwan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1-Way,10.1-15 A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Variable,Screw,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Vornado TH20 Whole Room Tower Space Heater, 3 Heat Settings, Black New In Box",50.0, , ,"New: A brand-new, unused, unopened, undamaged item in its original packaging (where packaging is applicable). Packaging should be the same as what is found in a retail store, unless the item is handmade or was packaged by the manufacturer in non-retail packaging, such as an unprinted box or plastic bag. See the seller's listing for full details. ",7.2 in,,1 gal or Less (5 L),3 or Less,20 in.,A+++ - G,1,,Electric,3,TH20,,"ABS Plastic, Aluminum, Ceramic, Steel",7.2 in,Strip,,Vornado,Steel,2000-2999 BTU,Tower Heater,"Electronic, Digital, Push Button",Forced Air/Fan,120 V,Vornado TH20,101-150 sq ft,"Thermostat, Fan Only Option, Overheat Auto-Shutoff, Anti-Tipping Shutoff, Cool Touch Case, Quick Heat, Directional, Heats the Room, Semi-Strong Heat, For Home Use, Auto Shut-off",Floor,N/A,1001-1500 W,043765014936,Black,,,,,,,,,,,,5 Stars,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kensington Warmview Desk Ceramic Heater K55465NA,49.34,30-day returns, ,"New: A brand-new, unused, unopened, undamaged item in its original packaging (where packaging is applicable). Packaging should be the same as what is found in a retail store, unless the item is handmade or was packaged by the manufacturer in non-retail packaging, such as an unprinted box or plastic bag. See the seller's listing for full details. ",6.40,,,,,,,,,,K55465NA,,,,,,Kensington,,,Space Heaters,,,,K55465NA,,,,,,0085896554653,,,,,,,,,,,,,,,,,Home Improvement,,,,,,,,,,,,,,,,,,,XSD-874867,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.90,4.10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"20X20cm 500W 220V Keenovo Powerful Universal Silicone Heater Pad, w/ 3M PSA",35.54,56 sold, ,"New: A brand-new, unused, unopened, undamaged item in its original packaging (where packaging is applicable). Packaging should be the same as what is found in a retail store, unless the item is handmade or was packaged by the manufacturer in non-retail packaging, such as an unprinted box or plastic bag. See the seller's listing for full details. ",,,,,,,,603629513083,,,K20002000500220P,,,,,,KEENOVO,,,,,,,,,,,,,,,,,China,,,,,500W 220V,Unit,Custom Design Welcome,"110V available, 220V by default",,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Holmes HCH-4163 Electric Heater Ceramic Control Auto Shut Off Tested Working,46.99, , ,"Used: An item that has been used previously. The item may have some signs of cosmetic wear, but is fully operational and functions as intended. This item may be a floor model or store return that has been used. See the seller’s listing for full details and description of any imperfections. ",,,,,,,,,Electric,,HCH-4163,,Ceramic,,,,Holmes,,,,,,,Holmes HCH4163,,Auto Shut-off,,,,,Gray,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
WeWarm We Warm Quartz Infrared Space Heater HT1013US LARGE room size 1500 Watts,46.5, , ,"Open box: An item in excellent, new condition with no wear. The item may be missing the original packaging or protective wrapping, or may be in the original packaging but not sealed. The item includes original accessories. The item may be a factory second. See the seller's listing for full details and description. ",,,,,,,,,Electric,,,,,,,,We Warm,,,Portable Heater,Remote Control,,,,,,,,,6971358490215,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
