Title,Price,Sold,Reviews,Condition,Heating Element Format,Model,Country/Region of Manufacture,Custom Bundle,Item Depth,Item Width,Smart Home Compatibility,Material,Energy Star,Tank Capacity,Power Source,Type,Features,Smart Home Protocol,Timer Control,Color,Year Manufactured,Operating Sound Rating,Energy Efficiency Ratio (EER),Mounting Location,Item Length,Number of Heat Settings,Area Covered,Power,BTU Heating Rating,Brand,Manufacturer Warranty,Control Style,Heating Element Material,EC Range,Heating System,Annual Fuel Utilization Efficiency (AFUE),Voltage,MPN,UPC,Type 1,Air Direction,Time Control,Style,Room Coverage Area,Noise Level,Modified Item,Modification Description,Height,Bundle Description,Manufacturer Color,Width,Cable Length,EAN,Colour,Location,Marke,Herstellernummer,Model Number,Category,Size,ISBN,Refrigerant,Current Rating,Item Height,Country of Origin,Binding,Returns,Package Contents,Normal temperature resistance,Energy Efficiency Rating,Heat Output,Heating Method,Manufacturer,Package,Piece Count,Item Weight,Weight,Depth,Tonnage,Recommended Environment,Finish,Heating Technology,Design,Manufacturer Part Number,ItemWidth,ItemLength,ItemHeight,NumberOfItems,Outside Height,Outside Width,For Use With,Mounting Type,Heater Style,Temperature Range,Plug Type,Power Type,Assembled Product Dimensions (L x W x H),Recommended Location,Assembled Product Weight,manufacturer_part_number,Item Dimensions LxWxH,PackQty,Number of Cool Speeds,Compressor Type,Volts,Item model number,Warranty Description,Assembly Required,Product Dimensions,Material Care Instructions,Batteries Required?,Number of Pieces,Included Components,Heating Wattage,Hight,Bundle Listing,Item Condition,Power (W),Shape,Application,Dimension(ID*H),Power Tolerance,Product Name,Expiration Date,ItemWeight,PackageHeight,PackageLength,PackageWeight,PackageWidth,PartNumber,Heating Element Type,Prop65_fl,Prop65Warning,Safety Features,Restricted States,Item,Includes,Length,Hz,Phase,Cord Length,Amps AC,Manufacturers Warranty Length,Watts,Number of Batteries,NEMA Plug Configuration,Heater Type,Battery Size,Air Temp. Rise,Battery Included,Motor Type,Battery Capacity,Battery Life,Voltage Type,kW,BtuH Output,Voltage Range,Label,ProductGroup,ProductTypeName,Publisher,Studio,CFM,Collection,Heater Controls,Product Width (in),Indoor/Outdoor,Product Height (in),Cord Length (in),Product Depth (in),Amperage (amps),Heating Technology Type,Product Weight (lb),PRICE,USE,Handling Time,RETURNS,Returns and Refund,Quality,SHIPPING,Money Back,Ships From,Perfect For,Satisfaction,Add To Watchlist,Customer Service,International Shipping,We Dont Accept PO BOX,Heating Wire Material,Time Setting,Dimensions,Adjustable temperature,Applicable Area,BTU Cooling Rating,PackageQuantity,SKU,Returnable,Power/Fuel Type,Room Size,Heating Product Type,Area Heated (Sq. Ft.),Wattage (watts),Voltage (volts),sku,Area Heated (Sq Ft),Color Family,Certifications and Listings,Portable Heater Safety Features,Portable Heater Features,Model No.,Number of Bulbs,UL Listed,Rated power
"Portable Propane Radiant Heaters, 14,000 Btu/H, 1.5 H",57.54,30-day returns,"['I have been using the Mr Heater product with a 20lb propane bottle for more years than I can remember...This product has been around for a long time...When it finally stopped working...I was more than ready to replace it with a new Mr Heater unit. Even though the appearance of the current model is similar to the previous unit....it is an impressively improved design with new safety features...lights up very quickly and has an improved selector knob for the 3 different heat settings...', 'As far as the propane heater there are many choices but I be owned this same model unit not including new one I just purchased over 6 years and it HSS given me no problems for my outside heating needs. Now I live in az but we get some cold nights here and even have used indoors in larger part of house its not recommended since carbon monoxide poising can be a real threat. I reccomend thus product if your looking for good value and a trusted name.', 'This is the second one I have ordered. These work great and are easy to use. I highly recommend these to anyone who needs instant heat.', ""This is a great product! Well made with quality in mind. I especially like the tipover shutoff feature as it relates to safety. This my second unit and they're durible and made to last. I highly recommend.Mike in Tucson"", 'Mr. Heater is the only way to go if you need a propane tank heater.  I bought two Harbor Freight heaters and had to return both of them because they either wouldn’t light or stay lit.  Mr. Heater installed easily, came with very simple instructions and started the first time.  Plus it’s very quiet!  I would highly recommend Mr. Heater and eBay easily had the best price.', ""Bought this basically as heat for the garage in case the power goes out, so my water lines don't freeze. I have used the heater a dozen times just testing it, while I messed around in the garage. Works exactly as the description said it would. No problems or issues as of now. Easy to install on the tank. Easy to light."", ""we use ours on a daily basis, and they typically fail within one year to 15 months. one of the safeties will malfunction, and the unit will either not produce any gas or will not stay lit. had to put a hose clamp around the startup plunger just to have heat, that brought it's useful life to almost 2 years. my mechanic has one that is maybe 10 years old that still works...it has no safeties. might as well buy the cheaper chinese ones and save money."", 'THIS IS A SAFETY IMPROVED UPGRADE OF THE ORIGINAL MR. HEATER AND IT ADDS A MOTION/TIP OVER SHUTOFF FEATURE .  SIZE IS COMPACT BUT THIS WORKS BEST WITH A 20 POUND TANK.  OUTPUT IS ROBUST AND OF A RADIANT NATURE THAT WORKS WELL FOR OUR DECK OFF-SEASON.   COMBUSTION IS NEAR COMPLETE FOR RARELY A WHIFF OF GAS.  ', 'This little heater works great, all week long using it in the evenings on low and only used 2.5 gal of propane. The only gripe would be the wire support bar thing is not the best design and the screw that holds it to the base of the heater is too short. For the price it is a good investment.', 'A small cook stove with a blue flame is good. This product is better. It has a lot of surface area and the flame can then burn hotter. I received it and am contemplating building something around it for safety. The only thing like this is hot coals glowing in a wood fire.I have not yet made the thing I will construct around it so I have been unable to use it yet. By the time deep  winter is here I will have it made']","New: A brand-new, unused, unopened, undamaged item in its original packaging (where packaging is applicable). Packaging should be the same as what is found in a retail store, unless the item is handmade or was packaged by the manufacturer in non-retail packaging, such as an unprinted box or plastic bag. See the seller's listing for full details. ",,MH15TS,,,,8,,"Aluminum, Metal - Aluminum, Aluminum,Metal, Metal",,20 lbs,"Gasoline, Electric, Propane, Electric,Propane","Tank Top, Tank","Quiet Operation, Cooling, Hawaii Med Low Regulator, Mr Heater 10000-15000BTU HR Heater, Cordless, Regulator, Tip-Over Safety Switch,Cordless, Adjustable Heat Control Valve,Built-In Safety Shut-OFF!!, Built in Safety Shut OFF!, Adjustable Heat Control Valve, Tip-Over Safety Switch, Adjustable Heat Control Valve,Built-In Safety Shut-OFF!, Portable, Automatic Shut-OFF!!, Tip over Cut OFF! Switch, Camouflage, Heating, Tank Top, Outdoor, Automatic Shut-OFF!, Quiet Operation, Hawaii-Med-Low Regulator, Tip-Over Cut-OFF!! Switch, Quiet Operation, Hawaii-Med-Low Regulator, Tip-Over Cut-OFF! Switch, Camping, Camping,Hunting,Regulator,Tank-Top,Portable",Infra Red,,"Silver, Brown, Brown,Silver,Multicolor,Black, Multicolor, Black, Brown,Multicolor,Silver,Black, Off White",,Quiet,,Portable,,3,,Not Electric,10000-15000,Mr. Heater,,"Rotary Knob, Switch,Rotary Knob, Switch",,,Radiant,,Not Electric,"F242100, F242105",0089301421004,,,,,,,,,,,,,,0089301421004,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mr Heater 15000 BTU Propane Camping/outdoor Heater MH15T,59.99,30-day returns,"['I have been using the Mr Heater product with a 20lb propane bottle for more years than I can remember...This product has been around for a long time...When it finally stopped working...I was more than ready to replace it with a new Mr Heater unit. Even though the appearance of the current model is similar to the previous unit....it is an impressively improved design with new safety features...lights up very quickly and has an improved selector knob for the 3 different heat settings...', 'As far as the propane heater there are many choices but I be owned this same model unit not including new one I just purchased over 6 years and it HSS given me no problems for my outside heating needs. Now I live in az but we get some cold nights here and even have used indoors in larger part of house its not recommended since carbon monoxide poising can be a real threat. I reccomend thus product if your looking for good value and a trusted name.', 'This is the second one I have ordered. These work great and are easy to use. I highly recommend these to anyone who needs instant heat.', ""This is a great product! Well made with quality in mind. I especially like the tipover shutoff feature as it relates to safety. This my second unit and they're durible and made to last. I highly recommend.Mike in Tucson"", 'Mr. Heater is the only way to go if you need a propane tank heater.  I bought two Harbor Freight heaters and had to return both of them because they either wouldn’t light or stay lit.  Mr. Heater installed easily, came with very simple instructions and started the first time.  Plus it’s very quiet!  I would highly recommend Mr. Heater and eBay easily had the best price.', ""Bought this basically as heat for the garage in case the power goes out, so my water lines don't freeze. I have used the heater a dozen times just testing it, while I messed around in the garage. Works exactly as the description said it would. No problems or issues as of now. Easy to install on the tank. Easy to light."", ""we use ours on a daily basis, and they typically fail within one year to 15 months. one of the safeties will malfunction, and the unit will either not produce any gas or will not stay lit. had to put a hose clamp around the startup plunger just to have heat, that brought it's useful life to almost 2 years. my mechanic has one that is maybe 10 years old that still works...it has no safeties. might as well buy the cheaper chinese ones and save money."", 'THIS IS A SAFETY IMPROVED UPGRADE OF THE ORIGINAL MR. HEATER AND IT ADDS A MOTION/TIP OVER SHUTOFF FEATURE .  SIZE IS COMPACT BUT THIS WORKS BEST WITH A 20 POUND TANK.  OUTPUT IS ROBUST AND OF A RADIANT NATURE THAT WORKS WELL FOR OUR DECK OFF-SEASON.   COMBUSTION IS NEAR COMPLETE FOR RARELY A WHIFF OF GAS.  ', 'This little heater works great, all week long using it in the evenings on low and only used 2.5 gal of propane. The only gripe would be the wire support bar thing is not the best design and the screw that holds it to the base of the heater is too short. For the price it is a good investment.', 'A small cook stove with a blue flame is good. This product is better. It has a lot of surface area and the flame can then burn hotter. I received it and am contemplating building something around it for safety. The only thing like this is hot coals glowing in a wood fire.I have not yet made the thing I will construct around it so I have been unable to use it yet. By the time deep  winter is here I will have it made']","New: A brand-new, unused, unopened, undamaged item in its original packaging (where packaging is applicable). Packaging should be the same as what is found in a retail store, unless the item is handmade or was packaged by the manufacturer in non-retail packaging, such as an unprinted box or plastic bag. See the seller's listing for full details. ",,MH15TS,,,,8,,"Aluminum, Metal - Aluminum, Aluminum,Metal, Metal",,20 lbs,"Gasoline, Electric, Propane, Electric,Propane","Tank Top, Tank","Quiet Operation, Cooling, Hawaii Med Low Regulator, Mr Heater 10000-15000BTU HR Heater, Cordless, Regulator, Tip-Over Safety Switch,Cordless, Adjustable Heat Control Valve,Built-In Safety Shut-OFF!!, Built in Safety Shut OFF!, Adjustable Heat Control Valve, Tip-Over Safety Switch, Adjustable Heat Control Valve,Built-In Safety Shut-OFF!, Portable, Automatic Shut-OFF!!, Tip over Cut OFF! Switch, Camouflage, Heating, Tank Top, Outdoor, Automatic Shut-OFF!, Quiet Operation, Hawaii-Med-Low Regulator, Tip-Over Cut-OFF!! Switch, Quiet Operation, Hawaii-Med-Low Regulator, Tip-Over Cut-OFF! Switch, Camping, Camping,Hunting,Regulator,Tank-Top,Portable",Infra Red,,"Silver, Brown, Brown,Silver,Multicolor,Black, Multicolor, Black, Brown,Multicolor,Silver,Black, Off White",,Quiet,,Portable,,3,,Not Electric,10000-15000,Mr. Heater,,"Rotary Knob, Switch,Rotary Knob, Switch",,,Radiant,,Not Electric,"F242100, F242105",089301421004,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Vintage Big Heat Model: 6200 6""x5""x5.5"" 1200 Watt Portable Electric Space Heater",59.0, , ,,,,,,,,,,,,Electric,Portable Heater,,,,,,,,,,,,,,Big Heat,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3-in-1 Multifunctional Heater Desktop Heating Household Night Light Humidifier,55.89,30-day returns, ,"New: A brand-new, unused, unopened, undamaged item in its original packaging (where packaging is applicable). Packaging should be the same as what is found in a retail store, unless the item is handmade or was packaged by the manufacturer in non-retail packaging, such as an unprinted box or plastic bag. See the seller's listing for full details. ",Coil,,China,No,23cm,16cm,,"ABS, Brass",Compliant,,Electric,Portable Heater,Auto Shut-Off,,,,,21-30 dB,,"Baseboard, Desk/Tabletop, Floor",16cm,,100 sq ft or Less,701-800 W,Less Than 2000 BTU,Unbranded,,Push Button,Brass,,Forced Air/Fan,95-100%,110-240 V,Does Not Apply,,,,,,,,,,,,,,1M,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FAHRNHEAT 1250W Electric Wall Baseboard Heater 60 inch - White - New,59.95, , ,"New: A brand-new, unused, unopened, undamaged item in its original packaging (where packaging is applicable). Packaging should be the same as what is found in a retail store, unless the item is handmade or was packaged by the manufacturer in non-retail packaging, such as an unprinted box or plastic bag. See the seller's listing for full details. ",,Fahrenheat F2545,,No,,,,"Aluminum, Steel",,,Electric,Baseboard Heater,,,,White,,,,Wall,,,,,,Fahrenheat,,,,,Convection,,120/208/240 V,Does Not Apply,,,,,,,,No,,,,White,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Convection,,,,,,,,,,,Baseboard,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2151146 Store,,,,,,,,,
Lasko Space Heater Convection Automatic Air Flow Electric Portable 1500 Watt New,56.88, , ,"New: A brand-new, unused, unopened, undamaged item in its original packaging (where packaging is applicable). Packaging should be the same as what is found in a retail store, unless the item is handmade or was packaged by the manufacturer in non-retail packaging, such as an unprinted box or plastic bag. See the seller's listing for full details. ",,,,,,,,Metal,,,,Does not apply,,,,Gray,,,,,,Variable,,,,Does not apply,,,,,,,,,7445007528561,,,,,,,,,,,,,,07445007528561,,,,,,,,Does not apply,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Forced Air,,,,,,,,,,,,,,,,,,Dial,7.28,Indoor,15,72,11.8,12.5,,7.25,,,,,,,,,,,,,,,,,,,,,,,,,Electric,Medium,,,1500,120,,300,Grays,ETL Listed,"Auto Shut Off,Cool-to-the-Touch,Tip-Over Safety Switch","Handle,Portable",,,,
Electric Round Mini Fan Heater 900w Fireplace Flame Warm Handy Air Home Heating,59.99,30-day returns, ,"New: A brand-new, unused, unopened, undamaged item in its original packaging (where packaging is applicable). Packaging should be the same as what is found in a retail store, unless the item is handmade or was packaged by the manufacturer in non-retail packaging, such as an unprinted box or plastic bag. See the seller's listing for full details. ",Strip,N/A,,,N/A,13.5CM,,Aluminum,2 Stars,N/A,"Electric, Fan",Unit Heater,Auto Shut-off,,,Black,,None,4.1-5,Wall,13.5CM,1,20 m³,51-100 W,PTC,Unbranded,,"Push Button, Remote Control, Switch",Brass,A+++ - G,Forced Air/Fan,100%,220 V,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PACK OF TEN Thermocouple replacement for Desa LP Heater 098514-01 098514-02,58.99,30-day returns, ,"New: A brand-new, unused, unopened, undamaged item in its original packaging (where packaging is applicable). Packaging should be the same as what is found in a retail store, unless the item is handmade or was packaged by the manufacturer in non-retail packaging, such as an unprinted box or plastic bag. See the seller's listing for full details. ",,,,,,,,,,,,,,,,,,,,,,,,,,DESA,,,,,,,,098514-01 098514-02,do not apply,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ISILER Space Heater 1500W Portable Indoor Heater Ceramic Space Heater Adjusta...,57.2,30-day returns,"['The iSiLER NPE-2 Electric Fan Heater is super compact, well made, and produces enough heat to make a noticeable difference in temperature for an entire room. The electric fan is quiet, and the unit is a tasteful yellow with gray front and rear grills, top handle, and supporting stand. Even though this heater was listed as a garage heater, I found it to be much more visually appealing than other heaters, having a bit of an industrial look, and I use it primarily in my bedroom. The iSiLER NPE-2 is extremely lightweight and can be easily moved from room to room as needed. The instructions for use are super simple, easy to follow, and intuitive. The unit has an ON/OFF button, thermostat control dial, and a power indicator light. It also has a built-in safety feature, turning itself off if the unit overheats. I have not had this issue, but it does give me peace of mind to know that it has this safety feature. The iSiLER NPE-2 Electric Fan Heater is reasonably priced, and I find it produces heat comparable to that of a much larger space heater. It also comes with a very generous 2 year warranty. I have been extremely pleased with this purchase.', ""It's a sturdy little electric thermostat-controlled heating element, with electric fan and a nice handle.  Unfortunately, the unit I received does not cycle the fan with the heating element.  The fan is constantly on when the power switch is in the ON position.  For anti-freezing low level supplemental heat in my crawl-space this is less than ideal.  If I needed a cooling fan in summer as well as a personal heater for limited sessions, it would work well.  But it's poorly designed to be an area supplemental heater to keep water pipes from freezing.  The wasted electricity and wear on the fan would be a problem."", 'You can not buy a better compact heater for the money. Light weight, compact, and really quite.... Really!! I bought the ""Broan"" 6201 ceramic heater which put out alot of heat, but this heater is way better 👍🏾👍🏾', 'Does a good job heating a small room, I like that it’s mostly metal and therefore mostly recyclable. Seems like pretty good quality ', 'Needed a small, heater to help raise the temperature in my outdoor gym. I purchased the Isiler 1500W and immediately was pleasantly surprised. The heater worked great and i was able to workout in a warmer environment.Good purchase. ', 'It will warm up a room quickly but it is a little loud for being on while sleeping. The fan is going constantly while on even if it is not heating. ', 'Isiler space heater']","New: A brand-new, unused, unopened, undamaged item in its original packaging (where packaging is applicable). Packaging should be the same as what is found in a retail store, unless the item is handmade or was packaged by the manufacturer in non-retail packaging, such as an unprinted box or plastic bag. See the seller's listing for full details. ",,Does not apply,,,,,,Ceramic,,,Electric,"Unit Heater, Space Heater",Indoor,,,Yellow,,,,Garage,,,,"1,500 watts",,iSiLER,,,,,,,120 V,NPE-2,0615517572379,,,,,,,,,,,,,,0615517572379,,,,,,,Round Handle,0615517572379,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Small Space Heater, Small Quiet Mini Ceramic Heater, for Office Bedroom Desk",,30-day returns, ,"New: A brand-new, unused, unopened, undamaged item in its original packaging (where packaging is applicable). Packaging should be the same as what is found in a retail store, unless the item is handmade or was packaged by the manufacturer in non-retail packaging, such as an unprinted box or plastic bag. See the seller's listing for full details. ",,heater,China,,,,,fireproof plastic Plastic and Metal,,,Electric,Portable Heater,overheating power failure,,,,,37-45dB,,"Desk/Tabletop, Floor",,1,,300-600W,,Unbranded,,Push Button,,,,,110V-220V,Does Not Apply,,,,,,,,,,,,,,,,,,,,,,205×159×119mm,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Portable Electric Space Heater, 70° Oscillation Safety Quiet Personal Heater, 15",56.99, , ,"New: A brand-new, unused, unopened, undamaged item in its original packaging (where packaging is applicable). Packaging should be the same as what is found in a retail store, unless the item is handmade or was packaged by the manufacturer in non-retail packaging, such as an unprinted box or plastic bag. See the seller's listing for full details. ",,,,,,,,,,,Corded Electric,Does not apply,,,,Space Heater-black,,,,,,,,,,Does not apply,,,,,,,,,313031075092,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1500 Watts,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Portable Space Heater Dish Radiant Electric Oscillate Adjustable Large Area Fan,59.98,30-day returns, ,"New: A brand-new, unused, unopened, undamaged item in its original packaging (where packaging is applicable). Packaging should be the same as what is found in a retail store, unless the item is handmade or was packaged by the manufacturer in non-retail packaging, such as an unprinted box or plastic bag. See the seller's listing for full details. ",..,Portable Space Heater,,,9.38 in,14.25 in,,Steel,A+++,..,Electric,Portable Heater,"Tip-over switch, Auto Shut-off, Oscillation",,,Black,,None,..,"Free Standing, Desk/Tabletop, Floor",19 in,2,Large Spaces,700-1000-Watt,..,Portable Space Heater,,Rotary Knob,..,A - G,Radiant,..,..,Does Not Apply,Does Not Apply,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Vintage 1960s ToastMaster Model 907-1 Instant Heat Automatic Heater Works Great,59.95, , ,"Used: An item that has been used previously. The item may have some signs of cosmetic wear, but is fully operational and functions as intended. This item may be a floor model or store return that has been used. See the seller’s listing for full details and description of any imperfections. ",,907-1,,,,,,,,,Electric,Portable Heater,Off - Low - Medium - High Settings,,,Gold,1960,,,,,3,,1001-1500 W,,Toastmaster,,Rotary Knob,,,,,120 V,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021 New Home Mini Desktop Heater Portable Leafless Cooling And Heating Fan 700W,55.84,30-day returns, ,"New: A brand-new, unused, unopened, undamaged item in its original packaging (where packaging is applicable). Packaging should be the same as what is found in a retail store, unless the item is handmade or was packaged by the manufacturer in non-retail packaging, such as an unprinted box or plastic bag. See the seller's listing for full details. ",Coil,,China,No,13cm,32cm,,"ABS, Brass",Compliant,,Electric,Portable Heater,Auto Shut-Off,,,,,11-20 dB,,"Baseboard, Desk/Tabletop, Floor",10cm,,100 sq ft or Less,601-700 W,Less Than 2000 BTU,Unbranded,,Push Button,Brass,,Forced Air/Fan,95-100%,220 V,Does Not Apply,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Imported Silicone Heated Bed Mat 300x330mm 230V 700W Heater Hotbed Plate，Orange,57.91,30-day returns, ,"New: A brand-new, unused, unopened, undamaged item in its original packaging (where packaging is applicable). Packaging should be the same as what is found in a retail store, unless the item is handmade or was packaged by the manufacturer in non-retail packaging, such as an unprinted box or plastic bag. See the seller's listing for full details. ",,,,,,,,,,,,,,,,,,,,,,,,,,Unbranded,,,,,,,,Does Not Apply,Does not apply,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1200W Portable Electric Mini Heater Winter Warm Home Office PTC Ceramic Heating,54.73,30-day returns, ,"New: A brand-new, unused, unopened, undamaged item in its original packaging (where packaging is applicable). Packaging should be the same as what is found in a retail store, unless the item is handmade or was packaged by the manufacturer in non-retail packaging, such as an unprinted box or plastic bag. See the seller's listing for full details. ",Coil,,China,No,14cm,24cm,,"ABS, Brass",Compliant,,Electric,Portable Heater,Auto Shut-Off,,,,,11-20 dB,,"Baseboard, Desk/Tabletop, Floor",12cm,,100 sq ft or Less,1001-1500 W,Less Than 2000 BTU,Unbranded,,Push Button,Brass,,Forced Air/Fan,95-100%,110-220 V,Does Not Apply,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Senville 900W/1500W Tower Ceramic Heater with Remote, Digital Thermostat",55.72, , ,,,,,,,,,Ceramic,,,,Tower Heater,,,,,,,,,,,,,,Senville,,Digital,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Soleil TFH-203-S Electric Utility Metal Heater 5100 BTU 200 sq. ft. Coverage,57.27,42 sold, ,"New: A brand-new, unused, unopened, undamaged item in its original packaging (where packaging is applicable). Packaging should be the same as what is found in a retail store, unless the item is handmade or was packaged by the manufacturer in non-retail packaging, such as an unprinted box or plastic bag. See the seller's listing for full details. ",,Soleil,,,,10.1,,Metal,,,,Utility Heater,,,,Gray,,,,,8.10,,,,,Soleil,,,,,,,,,891101002716,,,,,,,,,,,,,,,,,,,,,,,,,14.8,,,,,,,,,SOLEIL,,,5.38,,,,,,,,TFH-203-S,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
