Title,Price,Sold,Reviews,Condition,Item Depth,Item Width,Energy Efficiency Rating,Tank Capacity,Operating Sound Rating,Energy Efficiency Ratio (EER),Item Length,EC Range,Annual Fuel Utilization Efficiency (AFUE),EAN,Power Source,Number of Heat Settings,MPN,Material,Heating Element Format,Colour,Brand,Heating Element Material,BTU Heating Rating,Type,Control Style,Heating System,Voltage,Model,Area Covered,Features,Mounting Location,Power,Year Manufactured,Country/Region of Manufacture,Manufacturer Warranty,Energy Star,Color,Custom Bundle,Height,UPC,Timer Control,Air Direction,Cable Length,Tonnage,Smart Home Protocol,Power (W),Manufacturer Part Number,Heating Method,Heat Output,Compressive strength,Power deviation,Cable length,Manufacturer Color,Heating Technology,Current Rating,Assembled Depth (in),Color/Finish,Patio Heater Type,Assembly Required,Assembled Height (in),Total BTU,Wattage (watts),Cord Length (ft),Color Family,Heating Area (sq ft),Outdoor Living Product Type,Fuel Type,Assembled Width (in),Housing Material,Pack Size,Voltage (volts),Product Weight (lb),ISBN,Size,Room Coverage Area,Heating Wattage,Time Control,Refrigerant,Smart Home Compatibility,Room Size,Indoor/Outdoor,Portable Heater Features,Amperage (amps),Area Heated (Sq Ft),Product Depth (in),Heater Controls,Power/Fuel Type,Heater Type,Portable Heater Safety Features,Product Height (in),Cord Length (in),Product Width (in),Number of Items in Set,Firmness,Product,Department,Mount Type,Style,Room,Assembly Status,Set Includes,Weight,Heating Technology Type,Heating Product Type,Area Heated (Sq. Ft.),Suitable for Safe Rooms,Warranty,Wattage,Application,Certifications,Clearance,Maintained Operational Temperature,Recommended Environment,Remote Control,Product Type,Number of Burners,Is Electric,Assembled Product Dimensions (L x W x H),Count Per Pack,Count,Gender,Price Per Unit UOM,Variant Attribute Names,Number of Shelves,PPU Quantity of Units,Manufacturer,Age Group,Is Portable,Recommended Room,Piece Count,Multipack Quantity,Is Assembly Required,Power Type,Product Name,Home Decor Style,Seating Capacity,Number of Drawers,Global Brand License,Theme,Watts,Depth,Baseboard Heating Type,Certifications and Listings,Hydronic,Product Length (in),Thermostat,Vented,Heat rating (BTU/hour),Thickness,SHIPPING,RETURN,ITEM LOCATION,International buyers,Heating BTU,Location,Bundle Description,Item Height,Heater Style,Original/Facsimile,Author,Voltage / Wattage / Amperage,Poultry Species,Hatching Egg Breed,Built In Thermostat,Clearance to Combustible Materials,Product Color / Weight,Product Dimensions,Programmable Timer,Remote Control / In-Cord Switch,RESTOCK FEE,Item Weight,Power consumption,Product weight,Heater type,Fins width,Package includes,Oil volume,Power supply,Indoor/outdoor,Item model number,Batteries Required?,Country of Origin,Item Dimensions LxWxH,Number of Pieces,Included Components,Modified Item,sku,ProductType,Prop65_fl,Prop65Warning,ProductGroup,ProductTypeName,Recommended Location,Assembled Product Weight,SKU,Form Factor,Heating Element,Maximum Heat Power,Product Model,Timer,Noise Level,Number in Pack,Handling Time,Shipping,Satisfaction,Customer Service,International Shipping,Returns,Note,Assembled Height (Inches),Color/Finish Family,Heat Type,Cord Length (Inches),Use Location,Current Rating (Amps),Assembled Depth (Inches),Cool-Touch Housing,Tip-Over Safety Switch,Safety Listing,Design,Maximum Wattage,Display Type,Lowe's Exclusive,Control Type,Oscillation,ALCI Safety Plug,Energy Saving Setting,Maximum BTUs,Overheat Shut-Off,Manufacturer Color/Finish,Anti-Freeze Setting,Remote Control Included,Portable,Assembled Width (Inches),Supplemental Heating Area,Package Quantity,Series Name,CA Residents: Prop 65 Warning(s),Bundle Listing,Model No.,Accessory Type,Resistance Properties,Brand compatible,Cod. ETCO,Mark,UPC/GTIN Code,Mor Electric Heating SKU,Application/Usage,Area Coverage,Input Current,Input Voltage,Weight (Approximate),Actual Color,Feature,Origin,Patio Heaters Type,Binding,Studio,Publisher,PackageQuantity,NumberOfItems,Label,PackQty,Batteries Required,item_width,Max Weight Recommendation,item_length,Use,Price,Seller,Service,USA Shipping,Customer service,Shipping Exclusions,Number Of Heat Settings,OutOfStockControl,Width,ProductReferenceID,Length,Minimum Heat Power,Product Family,Product Line,Gift,Temperature,Heating power,Waterproof rating,PartNumber,Volume,Warranty Description,Import Designation,Finish Types,Is Discontinued By Manufacturer,Batteries,Material Care Instructions
MR. HEATER Mr. Heater Buddy LP Fuel Filter F273699 Pack of 6,76.26,30-day returns,"['This is the correct filter for using a hose with your Mr Heater. It filters oils that can come from the hose and any trash that might have found its way into hose. Arrived as advertised and ready to go.', ""Those little 1 lb. cylinders are great but if you want to heat for longer than a couple hours you'll find buying a 20 lb. propane tank, a long supply hose and a regulator a must.  My old Mr. Buddys used to work without a regulator but the new one I got wouldn't even light the pilot light without the regulator.  At any rate, I'm sitting warm and Mr. Buddy is working.  Do yourself a favor - even if you don't regularly use a big tank with Mr Buddy having the regulator and hose will give you peace of mind knowing should you need heat for a longer time you've got everything you need to stay warm.  It turns your propane heater from something you can use occasionally to knock the chill off into a heater you can depend on in an emergency."", 'Fuel filter kit matched up with my Mr. Heater without any issues. Works great.', ""I wish it weren't necessary to purchase these filters, because they are expensive and don't last particularly long.  However, they are absolutely necessary.  I learned the hard way with my first Mr. Buddy, which I ran with standard unfiltered propane canisters, which the Mr. Buddy is designed for.  In a season, the heater was hopelessly clogged and useless.  These filters will prevent that from happening.  The problem, unfortunately, is that, with the filters installed, standard canisters don't fit into the heater compartments that are designed to hold them.  The central promise of the Mr. Buddy—portability—is thus dead on arrival."", 'An excellent add-on to a Mr. Heater. Will keep the tiny orifice open and clear, if you are using a 20lbs propane tank. ', ""Have had a Big Buddy for several years as my space heater in the winter. Have always had this filter installed for protection. The filters aren't cheap, but you must have them as a blockage and the cleaning process thereafter is a pain. That's the only reason they are a good value."", 'This product came very fast and it really improve my tent heat performance. Before, I had trouble with the heater. Was hard to start and very hard to keep pilot fire lit. After installing it the pilot heats up fast and stays lit. Nice product, I bought two of them. Both heaters run excellent.', ""The hose I ordered does not require the fuel filter.  My error.  I'm only keeping it in case I buy one that does to run 2 tanks.  Not really a decorater item, so that idea is out.  Into the spares locker on the boat. "", 'Works as needed for Mr heater Buddy heaters.I mistakenly used a generic extension hose from 20lb propane bottle to Buddy heater a few times before the heater stopped working from ""goo"" which came from hose.This filter is much needed for Buddy heaters,I even use it for portable BBQ\'s for same reason.I did learn if the hose from bottle is made by Mr Heater it is fine without filter,true or not I have not tried it yet,Mr Heater uses different materiel for their hoses', ""I used my heaters 2 or 3 times without filter, never again. I didnt know I needed a filter until after reading that I should use one. don't want to damage my heaters. with the price being so low there is just no reason to not use one.""]","New: A brand-new, unused, unopened, undamaged item in its original packaging (where packaging is applicable). Packaging should be the same as what is found in a retail store, unless the item is handmade or was packaged by the manufacturer in non-retail packaging, such as an unprinted box or plastic bag. See the seller's listing for full details. ",,,,,Standard,,,,,,Propane,1,F273699,Aluminum,,,Mr. Heater,,10000-10999 BTU,,Analog/Mechanical,Convection,12 V,,,,"Bulkhead, Cabinet",,2019,,,,Gray,,,089301736993,,,,,"Bluetooth, Bluetooth/Bluetooth Low Energy (BLE)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Amazon Alexa, Universal",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Dayton Pedestal and Tower, Portable Electric Heater, 900W/1500W Model # 1VNX8",79.99, , ,"New: A brand-new, unused, unopened, undamaged item in its original packaging (where packaging is applicable). Packaging should be the same as what is found in a retail store, unless the item is handmade or was packaged by the manufacturer in non-retail packaging, such as an unprinted box or plastic bag. See the seller's listing for full details. ",,,,,,,,,,,Electric,,,,,,Dayton,,,Portable Heater,,Forced Air/Fan,,1VNX8,,,,1001-1500 W,,,,,Silver,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"LOT OF (4) FOUR Fahrenheat F2543 Baseboard Heaters, new old stock",80.0, , ,"New: A brand-new, unused, unopened, undamaged item in its original packaging (where packaging is applicable). Packaging should be the same as what is found in a retail store, unless the item is handmade or was packaged by the manufacturer in non-retail packaging, such as an unprinted box or plastic bag. See the seller's listing for full details. ",,,,,None,,,,,,Electric,1,F2543,,,,Fahrenheat,,,Baseboard Heater,Switch,,240 V,Fahrenheat F2543,,,Wall,,,,,,White,Yes,,0098319713308,With separate thermostat controller,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4 Individual baseboard heaters in this lot,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 Space Heater Under Desk Heater - Completely Quiet Wall Mountable Overheat 750W,78.48, , ,"New: A brand-new, unused, unopened, undamaged item in its original packaging (where packaging is applicable). Packaging should be the same as what is found in a retail store, unless the item is handmade or was packaged by the manufacturer in non-retail packaging, such as an unprinted box or plastic bag. See the seller's listing for full details. ",,,,,,,,,,Does Not Apply,,,Does Not Apply,,,,Does Not Apply,,,,,,,HPH01E-07,,,,,,,,,,,,Does Not Apply,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,750W,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Kitchen,SPACE_HEATER,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Space Heater 1500W Fast Heating Portable Heater PARIS RHÔNE Electric Ceramic ...,75.94,60-day returns, ,"New: A brand-new, unused, unopened, undamaged item in its original packaging (where packaging is applicable). Packaging should be the same as what is found in a retail store, unless the item is handmade or was packaged by the manufacturer in non-retail packaging, such as an unprinted box or plastic bag. See the seller's listing for full details. ",,,,,,,,,,Does not apply,,,Does not apply,,,,PARIS RHÔNE,,,,,,,Does not apply,,,,,,,,,Black,,,719710495579,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0719710495579,10Inch,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Up to 3 Business Days (Usually same day),U.S.A Free And Fast Shipping,100% Customer Satisfaction,"Professional Service, We Will Solve Any Problem",Shipped to select countries outside of USA,"USA 60 Day, International 30 Day Money-Back Guarentee",This product has a special price for a limited time,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Comfort Zone 1500 Watt Indoor/Outdoor Radiant Wall-Mounted Patio Heater CZPH20R,78.99,30-day returns, ,"New: A brand-new, unused, unopened, undamaged item in its original packaging (where packaging is applicable). Packaging should be the same as what is found in a retail store, unless the item is handmade or was packaged by the manufacturer in non-retail packaging, such as an unprinted box or plastic bag. See the seller's listing for full details. ",,7.080,,,,,26.570,,,,AC,,CZPH20RGR-EU,Metal,,,Comfort Zone,,,,,Radiant,,CZPH20RGR-EU,,,Wall,,,,,,Black,,,075877523273,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Electric Space Heater & Cooler 2in1 Portable Ceramic 2000W Heating Timer ,79.99,30-day returns, ,"New: A brand-new, unused, unopened, undamaged item in its original packaging (where packaging is applicable). Packaging should be the same as what is found in a retail store, unless the item is handmade or was packaged by the manufacturer in non-retail packaging, such as an unprinted box or plastic bag. See the seller's listing for full details. ",170MM,160 MM,,,Standard,,180MM,,,,Electric,2,DN71,"Ceramic, Steel",Coil,,LISM,PTC,,Portable Heater,"Digital, Switch, Touch",Ceramic Heating,110 V,Handy Heater for Home,<20㎡,"Electric Warm Heater, Overheat Protection, Tip-Over Protection, Auto Shut-Off, Oscillation, Timer, Dual Safety Protection, Fast Heating, Dual-use heating and cooling, Intelligent thermostat, 3 speed levels","Cabinet, Desk/Tabletop, Floor, Wall, Window",5W - 2000W,,,,A+,Black,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Vornado AVH2 Advanced Whole Room Heater with Automatic Climate Control,...",75.0, , ,"New: A brand-new, unused, unopened, undamaged item in its original packaging (where packaging is applicable). Packaging should be the same as what is found in a retail store, unless the item is handmade or was packaged by the manufacturer in non-retail packaging, such as an unprinted box or plastic bag. See the seller's listing for full details. ",,,,,Standard,,,,,,Electric,2,EH1014906,,,,Vornado,,,Portable Heater,"Dial, Push Button, Digital",Forced Air/Fan,120 V,Vornado AVH2,,"Auto Shut-off, Timer","Floor, Desk/Tabletop",1001-1500 W,,,,,Black,,,0043765013816,,,200,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pro Fusion QGW15-602  Radiant Heat Workshop Electric Heater 1500 W / 5120 BTU,75.0, , ,,,,,,,,,,,,Electric,3,QGW15-602,Steel,Strip,,Pro Fusion,Quartz,5120,Work Zone Mounted Heater,String Pull Switch,Radiant,120 V,QGW15-602,,,Upper Wall or Ceiling,1500 W,,,,,Black,,,045734667525,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Comfort Zone Digital Bathroom Heater with ALCI Safety Plug - White,79.99, , ,"New: A brand-new, unused, unopened, undamaged item in its original packaging (where packaging is applicable). Packaging should be the same as what is found in a retail store, unless the item is handmade or was packaged by the manufacturer in non-retail packaging, such as an unprinted box or plastic bag. See the seller's listing for full details. ",,,,,,,,,,,,,CZ58WT,,,,Comfort Zone,,,,,,,,,,,,,,,,White,,,075877001603,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Dayton 36"" Electric Baseboard Heater, 750W, 240V,3UG83D Free Shipping!!",75.0, , ,"New: A brand-new, unused, unopened, undamaged item in its original packaging (where packaging is applicable). Packaging should be the same as what is found in a retail store, unless the item is handmade or was packaged by the manufacturer in non-retail packaging, such as an unprinted box or plastic bag. See the seller's listing for full details. ",,,,,,,,,,,Electric,,,,,,DAYTON,,,Baseboard,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Stanley 9kw Electric Heater ST-09-240-GH-E (EURO PLUG),80.0,Last item available, ,,,,,,,,,,,,Electric,,DOES NOT APPLY,,,,Stanley,,,,,,,,,,,,,,,,,,,Does not apply,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Portable Electric Space Heater, 1500W/750W Ceramic Heater with Thermostat, Heat ",75.95,30-day returns, ,"New: A brand-new, unused, unopened, undamaged item in its original packaging (where packaging is applicable). Packaging should be the same as what is found in a retail store, unless the item is handmade or was packaged by the manufacturer in non-retail packaging, such as an unprinted box or plastic bag. See the seller's listing for full details. ",,7.9 x 6.2 x 10.2 inches,,,,,,,,,"Battery, Electric",3,,Ceramic,,,GiveBest,,Less Than 2000 BTU,Portable Heater,"Dial, Push Button, Touch",Forced Air/Fan,120 V,Modern,,Corded Electric,"Baseboard, Desk/Tabletop, Floor, Wall, Window",701-800 W,2021,United States,,5 Stars,Silver,,,0763944058253,,,,,"Bluetooth, HomePlug",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1200W Portable Electric Mini Fan Space Heater Winter Warm Home Office,80.0,30-day returns, ,"New: A brand-new, unused, unopened, undamaged item in its original packaging (where packaging is applicable). Packaging should be the same as what is found in a retail store, unless the item is handmade or was packaged by the manufacturer in non-retail packaging, such as an unprinted box or plastic bag. See the seller's listing for full details. ",135 mm,115 mm,,N/A,None,N/A,235mm,A+++ - G,90-95%,,Fan,Adjustable Thermostat,Does not apply,PTC ceramic,Coil,,HAEGER,Copper,Less Than 2000 BTU,Portable Heater,Switch,Forced Air/Fan,220 V,N/A,21-30㎡,Auto Shut-off,"Desk/Tabletop, Floor",1200W,2021,China,,10 Stars,Black,No,,N/A,,,135 x 115 x 235mm,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TaoTronics TT-HE005 Oil-Filled Heater 1500W Column Radiator Space Heater,79.99,30-day returns, ,,,,,,,,,,,,,,,,,,TaoTronics,,,Portable Oil Filled Radiator,,Radiant,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Infray DH-QN08 Electric Fan Heater 1500W Oscillating Space Heater Indoor Heater,79.99, , ,,,,,,,,,,,,"Electric, Fan",,DH-QN08,,,,Infray,,,Space Heater,,,,Infray DH-QN08,,Oscillation,Floor,,,,,,Black,,,Does not apply,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Space Heater Portable Electric Heater Quiet&Fast for bedroom Ceramic Heater w...,75.94,60-day returns, ,"New: A brand-new, unused, unopened, undamaged item in its original packaging (where packaging is applicable). Packaging should be the same as what is found in a retail store, unless the item is handmade or was packaged by the manufacturer in non-retail packaging, such as an unprinted box or plastic bag. See the seller's listing for full details. ",,,,,,,,,,Does not apply,,,Does not apply,,,,TABYIK,,,,,,,Does not apply,,,,,,,,,,,,701063686193,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0701063686193,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Up to 3 Business Days (Usually same day),U.S.A Free And Fast Shipping,100% Customer Satisfaction,"Professional Service, We Will Solve Any Problem",Shipped to select countries outside of USA,"USA 60 Day, International 30 Day Money-Back Guarentee",This product has a special price for a limited time,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Turbro Arcade HR1500 Electric Micathermic Space Heater 1500W Heating -White,, , ,,,,,,,,,,,,Electric,,Does not apply,,,,TURBRO,Silicon Crystal + Mica Composite,,Portable Heater,,Micathermic,120 V,HR1500,151-200 sq ft,,Floor,1001-1500 W,,,,,White,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17.7 x 10.6 x 26.2 inches,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lasko 5775 Ceramic Tower Heater,76.66, ,"['The tower was new ""opened box"" performs great.  I use it in our living room to supplementfurnace heat and save money.  The oscillation is a good  feature.', 'This  heater has some great features. Puts out an sufficient amount of heat for one room. Great buy! ', 'Fan is very fast at heating our bathroom.  Adjustable temperatures makes it nice.', 'I love my new Lasko Ceramic HeaterHeats the entire room quickly and quietly. I just bought another. I love this. ', 'This is such a cute heater and performs great. Love it in my kitchen, is just perfect.Loving it.', 'I had one of these for 10 years before it died. I looked for the same model seeing as the first one worked so well for so long. This one is just as good as the first one was. Hopefully it will last just as long.', 'Heats quickly, lightweight, and puts off a good amount of heat, love putting it in the bathroom before I shower!', 'Works well on my enclosed porch exactly as advertised. Especially like the oscillating fan.', ""Heats my son's approximately 500 square ft bedroom in a matter of minutes on the low setting. The high setting is almost too hot to run for long periods this thing works so good. Definitely a great buy for rooms with a draft or just looking to lower heat cost in the winter."", 'Gives out Great Heat and Is Temperature Controlled.']","New: A brand-new, unused, unopened, undamaged item in its original packaging (where packaging is applicable). Packaging should be the same as what is found in a retail store, unless the item is handmade or was packaged by the manufacturer in non-retail packaging, such as an unprinted box or plastic bag. See the seller's listing for full details. ",,,,,,,,,,0046013761798,Electric,2,"LASKO5775, 378, 5775",Ceramic,,,Lasko,,,Tower Heater,"Push Button, Digital",Convection,,5775,,"Timer, Oscillation",,,,,,,"Silver, Gray, White, Black",,,0046013761798,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
