Title,Price,Sold,Reviews,Condition,Brand,Power Source,Type,Heating System,Mounting Location,Colour,Material,Number of Heat Settings,Control Style,Model,Voltage,Features,Energy Efficiency Rating,Power,Heating Element Format,Heating Element Material,Annual Fuel Utilization Efficiency (AFUE),Operating Sound Rating,BTU Heating Rating,Area Covered,Item Width,MPN,Energy Efficiency Ratio (EER),Item Depth,Item Length,Tank Capacity,EC Range,Item Height,Item Dimensions,Colormap,Product Type,EAN,UPC,Color,Timer Control,Refrigerant,Year Manufactured,Smart Home Compatibility,Air Direction,Cable Length,Current Rating,Tonnage,Smart Home Protocol,Location,Assembled Product Dimensions (L x W x H),Manufacturer Part Number,Assembled Product Weight,Manufacturer,ISBN,Country/Region of Manufacture,Power (W),Unit Type,Design,Voltage Supply,Custom Bundle,Energy Star,Manufacturer Warranty,Product Weight (lb),Baseboard Heating Type,Hydronic,Product Width (in),Product Height (in),Product Length (in),Power/Fuel Type,Thermostat,Heating Product Type,Wattage (watts),Voltage (volts),Heat rating (BTU/hour),Product Depth (in),Heating Technology Type,Vented,Certifications and Listings,Bundle Listing,Part/Accessory Type,Style,Heater Style,Area Heated (Sq Ft),Heater Controls,Room Size,Heater Type,Amperage (amps),Voice Control Hub Required,Color Family,Portable Heater Safety Features,Cord Length (in),Indoor/Outdoor,Remote Access,Portable Heater Features,Smart Home,Requires Hub?,Works With,Power Options,Size,Heating Method,Item Dimensions LxWxH,Heat Output,Style Name,Power Type,Recommended Location,Handling Time,Shipping,Satisfaction,Customer Service,International Shipping,Returns,Note,Hanger Type,Number of Bars,Heating Wattage,Length,Width,Height,SKU,Item model number,Warranty Description,Assembly Required,Product Dimensions,Country of Origin,Batteries Required?,Item Weight,Number of Pieces,Included Components,Model No.,Wattage,Battery Size,Depth,Number of Batteries,Battery Life,Motor Type,Battery Included,Bundle Description,Weight,Battery Capacity,UL Listed,Energy Rating,SHIPPING,RETURN,ITEM LOCATION,International buyers,New Title,Prop65_fl,Prop65Warning,Manufacturer Color,Recommended Environment,Resistance Properties,ItemWidth,ItemLength,ItemHeight,item_width,item_length,Fuel Type,Room,Suitable For,Watts,Binding,Warranty,Studio,Publisher,ProductTypeName,PackageQuantity,NumberOfItems,Label,ProductGroup,750 Watts,1500 Watts,Living Room Safe,Bedroom Safe,Stage,Approved,Mobile Home Safe,frequency,state limitations,Number of Cool Speeds,Price,USA Seller,Product use,Customer service,Limited time offer,Shipping Exclusions,manufacturer_part_number,Pack Size,Fit,Quality,Tax,Heating Element Type,Cord Length,Plug Type,Heating BTU,Watt,Dimension,Item Weight Major,package_length,PartNumber,Platform,PackageHeight,PackageLength,PackageWidth,PackageWeight,ItemWeight,Package Condition,Package Contents,Cosmetic Condition,Functionality Check I,Functionality Check II,Second eBay Category,Set Includes,Gift
"Lasko Cool-Touch Infrared Quartz Remote Control, QB16103 Heater, Gray",99.0, , ,,Lasko,,Portable Heater,Infrared,,,,,"Remote Control, Touch",QB16103,,,,,,,,,,,,,,,,,,,,,,,,Gray,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Brand New Oil Filled Radiant Portable Space Heater,95.0, ,"['Quiet, heats efficiently. Very light so it\'s easy to move around. YES there\'s a ""new electric appliance"" smell but as suggested by others, I let it run on max for 4 hours outside first and I haven\'t had any issues with it since. ', 'Only had about 4 cold nights here so far but this radiator/heater was just what was needed. Kept my large living room toasty warm. The remote control makes it very convenient to program and run. Very satisfied thus far.', 'Silent, effective heat when we need a little in the kitchen area makes this a product we should have had a lot earlier. We sometimes use it in conjunction with a Rowenta circulating fan [also silent] to circulate the heat more widely. An effective unit. No sound or odors make it a pleasure to use.', 'This is a very safe heater, put on low to heat a small(10x12) took the chill off in about 7 minutes . Warmed the room to cozy warm in 20. Would by again.', 'Pelonis is a higher quality and offer more features, for the same price', 'These are as good as any I have ever seen in  the last 35 years of buying them.', 'This oil filled radiant heater warms up rapidly, provides uniform heat, and is compact. Surprisingly, this heater warmed a 15 x 15 ft room to a comfortable 75 Degrees as selected. A wise investment !', 'my wife loves it enough said', 'Warms room quickly ! Highly recommended ! Fastest shipping ! ', 'Works great']","New: A brand-new, unused, unopened, undamaged item in its original packaging (where packaging is applicable). Packaging should be the same as what is found in a retail store, unless the item is handmade or was packaged by the manufacturer in non-retail packaging, such as an unprinted box or plastic bag. See the seller's listing for full details. ",Pelonis,Oil,Portable Heater,Radiant,,,,,,PH-14A,,,,,,,,,,,,"PH-14A, PH14A",,,,,,,,,,,0750545105837,Black,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Lasko 755320 Ceramic Space Heater 8.5 L 8.5″L x 7.25″W x 23″H, Silver 755320 ",98.96,30-day returns,"[""Had one of these for several years to heat an office work space in my home. Did a great job.  Wanted another small heater for another room on another floor so i didn't have to carry the one I had up /down stairs. Decided to get another Lasko  similar to what i had, rather than risk another brand/model. This Lasko is  reliable, heats quickly, has auto off and an oscillation feature. All pluses and it's light weight.  Can't say it's energy efficient. No small electric heaters are. Heater arrived quickly.  Several days before the targeted delivery date. "", ""With the high cost of propane,  I was looking for a way to help cut some cost. I bought two heaters. The other one is already in storage, (does not work nearly as good as this unit). So far our coldest day has only been down in the mid 30's. With this heater, until it dropped that cold, our Propane hed never needed to kick on once. This is a GREAT Little Heater for Full Time RV'ers, or anyone whom wants to cut down there gas/propane heating bill. Were due to start getting colder weather, So I am now looking for a second heater to help the one we have to heat our 33 foot 5th wheel RV. "", 'This heater is quiet, has hi and lo settings.  Unlike some heaters, As far as I can tell, it does not have an automatic shut off when it tips over, which is a nice safety feature. I have had another Lasko heater for several years, and it has been dependable.', 'I now own 3 of these heater and love them. I live in a rural area with propane being my main source of heat, but I installed solar making electric heat cost effective. I run these in rooms we occupy instead of using propane to heat in needed areas. The on-off range of these heaters is about 3-4 degrees. The run very quiet to the point they are quieter than our tower fan that we use in the summer. Great product and now to see how long it will last.', ""This is the second one of these I have purchased.  I purchased the second because I was so impressed with the features and functioning of the first.  It has a remote (I haven't even used), on-off timer up to 8 hours, one direction or variable direction heating and most important, an accurate thermostat control.  I first started using the original purchase to keep my garage above freezing during low temperature cold spells.  That showed me what a great functional heater this was for any area of the house where additional heat is required."", ""I'll know in a month if this unit is truly energy efficient as I've been using it more than my furnace in the evenings.The only complaint I have is the thermostat may not be accurate. I'll set it for auto shut off when it reaches 70 degrees  but it never seems to get past 67 degrees so it keeps running. When I check the temp on my furnace's thermostat it reads 71 degrees so I know it's heating- just not reaching the correct temp internally to auto shut off.It's relatively quiet and heats a large room up in about 30 mins. or less provided all the windows and doors are closed to hold the heat in. My cats still freak out and won't go near it, especially when it oscillates. Funny stuff!"", ""This little heater is great as a heat supplement for a decent size room (and have actually used it to heat multiple rooms at the same time). Sturdy, safe, and the remote is quite convenient! The internal thermostat can be a little wonky depending if you're opening or closing a bunch of doors, or if people are walking by it constantly, but it straightens itself out fairly quickly. Happy enough with this product that I bought another one for my office!"", ""It's a great heater no question very good quality but I was under the impression it was a fan/heater but there is no just fan feature on it and I know they are made but not this one 😩 as the description of it let me to believe"", ""I love this heater since you can set the temperature you want, light weight for moving and has a remote control for setting the desired temperature. It's just a great heater for bathroom or bedroom and I love it."", ""It's a LASKO first off, and second it's CERAMIC material which is The best to provide The correct amount of heat when set without overheating The Unit at The same time! Third, It comes with A REMOTE CONTROL!. Forth, The Unit OSCILLATES Back, and Forth to heat entire Area, and has The Usual Digital Display on Top of The Heating Unit. The Oscillation can be Set by The Remote as well. PROS: Great Designed Unit. CONS: NONE That I have Found Yet!""]","New: A brand-new, unused, unopened, undamaged item in its original packaging (where packaging is applicable). Packaging should be the same as what is found in a retail store, unless the item is handmade or was packaged by the manufacturer in non-retail packaging, such as an unprinted box or plastic bag. See the seller's listing for full details. ",,,,,,,,,,755320,,,,,,,,,,,,,,,,,,,,,,0046013768162,0046013768162,,,,,,,,,,,,,,,Lasko,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.5″L x 7.25″W x 23″H,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,218,184,584,,,,,,,,,Lasko,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,755320,Windows,197,603,222,3878,3629,,,,,,,,
New LASKO 6435 RC Ceramic Tower Heater,98.78, ,"[""This is the 3rd purchase of the same heater.  1st for one of my sons, 2nd for my boss and 3rd to replace a noisy old heater at my desk.  Not only does it produce heat well but it is also is aesthetically pleasing in an office setting.  Those points combined with many levels of heat to chose from and a remote control feature to boot...perfection!!  Three purchases and each for less than $60...it's a winner!!"", ""The reason I wanted this heater was I needed supplemental heat to my daughters room which is the furthest from the central heating system and surrounded by three ouside walls. Have been using a small oscillating ceramic heater for a couple years, but not thermostat controlled. Love the Lasko, cause it heats room evenly and quickly! Love that it does shut down when it get's up to the right temp. I would reccomend this heater to anyone. You can not however use thermostat control on LO setting. Only on High. Also like the overall appearance of it. Nice product!"", 'It would be great if it would operate in Automatic via the Thermostat on Low. It will not though as it will default to Max and if you set a temperature it reverts back to High mode which blows my Breaker! A nice design with a great oscillation feature. If you can run it on High which draws 12-14 Amps then it will work well for you! Why they disable temperature controlled operation in Low mode is baffling to me! ', 'This heater is a pretty good source of additional warmth where you need it. You may get tired of people asking you what it is though... It will not heat an entire home, but in my 22x28 living room, it does a pretty good job warming things up. Quiet and pretty. The remote works great, (even though it is almost as weird of a shape as the heater).', ""The heater is very dependable , I've had one for 1 year now. I have purchased two additional for other rooms. These units do the job of heating rooms well. They're very fashionable convenient."", 'first off gotta say this heater warms a medium size room very fast..and very wellalso easy to operate. only problem is the heater is very noise. looked over the reviewspeople said very quit very little sound NOT true loud fan and when oscillating is onmakes a verroom verroom sound [ best way to describe it]  gonna need to get out theear plugs gave it four stars for its heating', ""This little heater is great for taking the chill out of the air. My cottage is under 1000 ft, and the kitchen and living room are open to each other and I typically keep the temp at 66-68 24x7. Because of that vast space I originally had my doubts but now that I have used it for a week, it does a great job. It definately raises the temp a few degress which makes a big difference for me. (Don't rely on this heater being your main source of heat but rather as a supplement)."", ""expertbenefitsI haven't had it too long but it fits my purpose. I have central hearing but being an older place that I just got and having colder weather than usual, it just wasn't enough.  I have used it mostly for showers inn one bathroom and have an e-heater in the other one so I am all set. I like that this is portable so that I can move it around. It has a good range of settings, changes quickly. I actually read about it in Consumer Reports and looked on eBay so I got it.  The stand keeps it stable. It kind of cute too!"", 'I like the design of the heater very much and it certainly has enough output to heat what I intended it for.  I also like the features that it offers.  The only thing that I wish it did and it does not do is turn back on when the thermostat goes below what it is set at as well as turn off when it reaches the temperature.  All in all though, it is a good value and I have been pleased with it.', ""Granted it's not more than 1000 square feet, but this pretty little heater sits in the center of my house and keeps the whole house comfortable.  It has a thermostat,  (only 5 degree increments) but still will save me money by shutting off when the room is warm enough.  It has a convenient remote control.  First time I used it I smelled some electrical burning sent.  It only lasted a little while.  Seems fine now.""]","New: A brand-new, unused, unopened, undamaged item in its original packaging (where packaging is applicable). Packaging should be the same as what is found in a retail store, unless the item is handmade or was packaged by the manufacturer in non-retail packaging, such as an unprinted box or plastic bag. See the seller's listing for full details. ",Lasko,Electric,"Air Cleaning, Cooling & Heating",Convection,Desk/Tabletop,,,2,"Switch, Remote Control, Digital",,120 V,Timer,,,Coil,Brass,Less Than 80%,Standard,Less Than 2000 BTU,,"8.25in., 8.25 in",6435,3 or Less,,,1 gal or Less (5 L),,,,,,0046013762207,046013762207,Beige,,HC-12a,2019,,1-Way,300,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AVH2 Plus Whole Room Heater,98.68,60-day returns,"['Unit arrived before its scheduled arrival date, works as described, and accurate with temp auto set, I just hoe the timer button will have a (0) settings because right now if you hapen to have mistakenly click that button, then you have to click it 12 more times to bring it to (0) again, because it has a 12 hour settings, and there is no way to cancel it unless you click the same button 12 more times to bring it to (0) againunit circulate the air evenly all over the room with its unique twirling vent movement, product is quiet and works niceAnother thing I wish the digital display was  a lit up display, to set up the unit Temp you need a lot of light to see the digits on its some what dark screen', 'This Vornado heats entire room quietly &amp; evenly and the thermostat keeps the temperature exactly where you want it. Quality product. Did have to temper out the smell it emits on first use. Just ran it on high outside in shed for about 8 hours until the odor was no more. No problem!!', ""Damn near perfect. I love the timer and the option to set temperature down to the exact degree.  It's so quiet you don't notice it's running until you either get up real close, or you feel the warm air blowing. Only thing I would add is the ability to have it turn on at a certain time in addition to the current option of turning off."", 'Product is good - it is hard to figure out how to shut of the item though since it is all digital now.', ""I had an older version of the AVH2. Had it for many years til it finally gave out and I purchased this newer unit. I have it in my bedroom on low heat set at 66 degrees. It puts out some decent heat even on that low of a setting. Not good for a very large room but, smaller rooms you just can't go wrong. Excellent product..... !!!!!!"", 'Best of the Vornado whole room heaters for functionality - some of the others come on as fan each time you turn them on and you have to then set heat temp whereas this one remembers how it was last set.We have 3 of them in our house to bump up the heat just where we need it.  My grown-up kids all have them too after seeing how great they are.Definitely saves on heating costs and we use less propane because of it.', 'I am using the Vornado AVH2 to heat part of a large finished basement space. It runs very quietly and does a good job of heating up the space quickly.', 'Product as expected.  Warms this space very well.', 'It is all you said it would be,quiet, and heats a room without much effort.']",,Vornado,Electric,,,"Wall, Floor, Cabinet",,,2,"Switch, Digital, Push Button, Touch",,,Timer,,1001-1500 W,Coil,,Less Than 80%,None,5000-5999 BTU,,,EH1010406,,,,,,,,,,0043765009765,043765009765,"Multicolor, Black",12 hrs,,Unknown,Nest,,,10.1-15 A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Slight Wear,Complete - Includes All Pieces,Significant Signs of Wear,Works As Expected,Item Powers On,,,
"Propane Heater Portable Radiant Quiet Clean Indoor Home Little Buddy 3,800 BTU ",99.87, ,"['Bought this for my weekend get always for camping. Just what I needed to keep my camper van nice and toasty.', 'Love this heater.  I have two of the buddy heaters but I like the size of this one though it doesn’t put out as much heat. ', 'Sturdy, safe, enough heat for small area, i.e. tent, ice shanty, etc.', 'THE BOTTOM REMOVABLE BASE IS NOT BIG ENOUGH', 'Great heater. Can be bought for less at local sporting goods store ', 'A great little heater', 'Provides amazing results in the small space of the car.', 'Great product works perfectly ', 'Great Price! Perfect!', 'Nice and good price']","Open box: An item in excellent, new condition with no wear. The item may be missing the original packaging or protective wrapping, or may be in the original packaging but not sealed. The item includes original accessories. The item may be a factory second. See the seller's listing for full details and description. ",Mr. Heater,Propane,Portable Heater,Radiant,,,,,,F215161,,,,,,,,,,,,F215161,,,,,,,,,,Does not apply,089301002135,,,,,,,,,,,,,,,,Does not apply,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Brilliant Air Protector 2-In-1 Heater With UVC Light Steriliser Anti-Virus,134.99,30-day returns, ,New,Brilliant,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"DAYTON 1VNX9 HEATER RADIANT ELECTRIC 5-3/4"" x 14-1/4"" x 23-1/2"", 120VAC,1500W",97.89,30-day returns, ,,Dayton,Electric,,,,,,,,1VNX9,,Portable,,,,,,,,,,1VNX9,,,,,,,,,,,Does not apply,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Heat Storm HS-1000-WX-WIFI WiFi Infrared Wall Heater 1000 Watt,97.39,30-day returns, ,"Open box: An item in excellent, new condition with no wear. The item may be missing the original packaging or protective wrapping, or may be in the original packaging but not sealed. The item includes original accessories. The item may be a factory second. See the seller's listing for full details and description. ",Heat Storm,Electric,"Infrared, Infrared Bulb Heater",Infrared,"Floor, Wall, Floor,Wall",,Plastic,2,"Voice,Digital,Remote Control,Touch, Thermostat, Touch,Remote Control, Remote Control, Digital,Voice,Touch,Remote Control, Voice,Touch,Remote Control,Digital, Digital, Voice,Touch,Digital,Remote Control, Touch, Touch,Digital,Voice,Remote Control, Voice",HS-1000-WX-WIFI,110 V,"Wall-Mountable, Thermostat, Remote Control, Cool-Touch Exterior, Indoor",,1000 W,,,,,3400,"Under 150 sq ft, 500 sq ft",13 in.,HS-1000-WX-WIFI,,,4 in.,,,,,,,0854271005987,0854271005987,White,15 Minutes,,2019,Wi-Fi,,,,,Wi-Fi,,,,,,0854271005987,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1000 Watt,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Electric Baseboard Heater 96 in. 2,000-Watt 240/208-Volt Quiet Operation White",98.72,Last item available, ,"New: A brand-new, unused, unopened, undamaged item in its original packaging (where packaging is applicable). Packaging should be the same as what is found in a retail store, unless the item is handmade or was packaged by the manufacturer in non-retail packaging, such as an unprinted box or plastic bag. See the seller's listing for full details. ",Cadet,Electric,Baseboard Heater,Convection,Wall,,Steel,1,Multiple Control Style,8F2000W,208/240 V,Multiple Features,,2000 W,Multiple Heating Element Format,Multiple Heating Element Material,Multiple Annual Fuel Utilization Efficiency (AFUE),Multiple Operating Sound Rating,Multiple BTU Heating Rating,Multiple Area Covered,96 in,09958,Multiple Energy Efficiency Ratio (EER),,,,,,,,,0027418099587,0027418099587,White,,,,Universal,,,,,,,,,,,,,,,,,,Multiple Energy Star,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
New LASKO 5521 RC Ceramic Tower Heater,99.13, ,"['Great space heater.  I purchased it for my very large bedroom.   It did the job in no time.My only suggestion, though, is that the heater run only when in the room.  I made the mistake of running it all the time and my electric bill SKYROCKETED.After I got my bill, I realized what I did wrong and now I just run it when I am in the room.  It makes hardly any noise and swivels so it gets all sides of the room.  It is sleek looking and not very tall so can be placed in a corner without really being noticed.I highly recommend this space heater.  Compared with ones I have used in the past, it is quieter and more efficient.', ""It's a store return. and arrived without a remote. Fortunately, my old remote worked on this.Works well, heats well, rotates. All good. Makes a little noise, however.(store return?)But good price, and should be good for a few winters."", ""I live in an old house and it gets drafty when it's 20 or below out.  This little heater safely keeps my kids room comfy.  I also take it in my camper to supplement the propane heater when we're at campgrounds"", ""Works great, it's in a large room, heats up in about 20m..in an hour, you'll need to shlasco heaterut it off..."", 'I love this heater. The Lasko 5521 was a great purchase. We use it to keep an upstairs bedroom comfortable at night when the furnace temperature is lowered. It works fantastically. I really like the auto temperature setting. I would definitely purchase this product again and recommend it to friends. It is a great value!', 'its ok! -   it   does what we were told ( just a bit cheap but so was the price )', ""I HAD THIS PRODUCTS ABOUT SIX MONTHS.WHEN POWER ON ITS VERY QUICKLY WARM UP THE ROOM.YOU ALSO RUN THIS HEATER AS SELF TIMER ON WITH REMOTE CONTROL SWITCH.SO, YOU DON'T NEED TO MOVE YOURSELF UP TO CHANGE TEMPERATURE HI LO OR SHUTT OFF THE HEATER . HANDY REMOTE CONTROL WILL DO IT FOR YOU.AND GREAT MONEY SAVINGS ALSO,IT ONLY VERY LESS ELECTRICITY.OVER ALL IT IS VERY GOOD."", 'I purchased the heater because I wanted to heat a smaller area. It works perfectly! I think it was one of the best purchases on ebay. I plan on purchasing another one , thats how pleased I am. All around great experience!']","New: A brand-new, unused, unopened, undamaged item in its original packaging (where packaging is applicable). Packaging should be the same as what is found in a retail store, unless the item is handmade or was packaged by the manufacturer in non-retail packaging, such as an unprinted box or plastic bag. See the seller's listing for full details. ",Lasko,"2 Levels, Gasoline, Electric","Ceramic, Tower Heater",Convection,Radiator,,"Ceramic,Plastic, Ceramic, Plastic, Matte",3,"Switch, Remote Control, Digital, Electronic, Remote Control,Switch,Digital",5521,120 V,"Handle, Timer, Digital Thermostat, Thermostat,Remote Control,Timer,Oscillating, Digital thermometer and timer. , Remote control ceramic tower heater with 2 quiet comfort settings , Remote control , 1500 Watts, Thermostat,Timer, Digital Thermostat,Oscillating, 7hr. Timer, Oscillation,Thermostat,Timer,Handle,Digital Display, Thermostat Handle, 1500W Output, Oscillation, Remote Control, Heater, Indoor, Portable, Timer,Remote Control,Oscillating, Digital Display, Programmable, Oscillating,Remote Control,Thermostat,Timer, 1500W Output, 7hr. Timer, Oscillating, Programmable Thermostat, Oscillating, Programmable Thermostat",,"900-1500W, 1500W / 900W",,,,Quiet,,,"7.25in., 7.25 in","LASKO5521, 5521",,,,,,,,,,0046013761088,046013761088,"Silver, Gray",7 Hours,,,,,,,,Ceramic,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hiland HIL-PHB-1500 Electric Heater with Ground Cage 1500 Watts Black,98.16, , ,"New: A brand-new, unused, unopened, undamaged item in its original packaging (where packaging is applicable). Packaging should be the same as what is found in a retail store, unless the item is handmade or was packaged by the manufacturer in non-retail packaging, such as an unprinted box or plastic bag. See the seller's listing for full details. ",Hiland,,,,,,,,,Does not apply,,,,,,,,,,,,Does not apply,,,,,,,,,,Does not apply,850132008036,Black,,,,,,,,,,,,,,,0850132008036,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Home Room Kitchen Office Digital Ceramic Tower Air Heater with Remote Space Tool,95.0,30-day returns,"['Very nice heater!  It oscillates back and forth and keeps a pretty constant temperature in a medium sized space.  The remote works well and I am happy with this purchase', 'This little ceramic heater is wonderful!  It is loaded with features including oscillating and has a remote control with it.  It works like a charm very quietly and automatically according to the thermostat control.  I highly recommend this space heater!', ""My office is in the lower level of the house which is naturally colder than the rest of my home. Rather than heat up the whole house to warm this one room this Lasko heater does a terrfic job of keeping me comfortable even on the coldest days.It's quiet, efficient, and just does the job."", 'heats up a room quickly and quietly.... well made verses the earlier models..', 'Took for ever to warm a sun room of 10 x 12, than it didnt even bring it up to 70 degrees, was on most of the day. .  heat output was not that good. Will never purchase anyone. Price was way to much for the quality of how well it worked.', ""Couldn't find a more inexpensive excellent quality space heater. Just ordered another!"", 'Solid model. Quiet does the job well. Worth the buy.', 'Good products. Thanks.', 'I received mine in the mail turned it on only lasted one day and stopped working. Do not recommend this product at all to anyone']","New: A brand-new, unused, unopened, undamaged item in its original packaging (where packaging is applicable). Packaging should be the same as what is found in a retail store, unless the item is handmade or was packaged by the manufacturer in non-retail packaging, such as an unprinted box or plastic bag. See the seller's listing for full details. ",Lasko,,Tower Heater,,,,Ceramic,,Digital,,,,,,,,,,,,,,,,,,,,,,,,024070570416,Black,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1500W Electric Oil Filled Radiator Space Heater 5.7 Fin Thermostat Room Radiant,99.44, ,"[""These type of heaters can range from $50 to $200. I've had a more expensive heater that when you put it on Low setting, medium dial, the room is warm. Medium setting, medium dial, you're burning up.<br&gt;For $55, you shouldn't hesitate to buy this one!This product Low Setting, pretty high dial to get room temperature. Medium setting, high dial, you're warm. It seems more power for more heat (but that's normal duh!)  Had it for a few weeks now, no problems.</b<span>"", 'I have another oil filled radiator and keep it on the 600 watt setting for my small bedroom.It works great and so I wanted one for my other room that measures 10x25 feet. I ordered this one expecting to keep it on the high setting (1500 watts) but only need to keep it on the med. setting which is adequate.  I am very pleased with this heater. I hate being cold!', 'Climate change coming , if your central air breaking down , this can be a backup , except the roller wheels need to mount further , when you dragging this wheels , it look like it going tilts one side or another side . The quality is still a question marks , I wrote this is just only 1 week review , the long run is skeptical. I hope this heater last ', 'With all-electric baseboard heating, I have found these oil filled radiators are much more energy efficient and better capable of regulating the comfort of a  Minnesota winter with enormous savings on my electric bill!', 'I like the heater, it works well. just one flaw. the power light stays on even when the unit is actualy off.', 'A great cost alternative to other brands and a terrific heater', 'The heater is a good value for the price. You will keep a small room toasty, meaning about 200/300 square foot. Very very quiet, don’t hear it running. Not exactly sure how much electricity it burns, but well built and simple to use....!!', 'Best heater to use that works on oil. No noise, smell or fan wind around. This kind of heater will last long enough and  I’m sure will be your loved one to keep you warm!', 'Great heater heats my entire living room', 'Did not efficiently warm a 27’ rv. Expected more for the price. Ended up finding a less expensive model locally  with a great eco mode']","New: A brand-new, unused, unopened, undamaged item in its original packaging (where packaging is applicable). Packaging should be the same as what is found in a retail store, unless the item is handmade or was packaged by the manufacturer in non-retail packaging, such as an unprinted box or plastic bag. See the seller's listing for full details. ",Costway,Electric,"Portable Oil Filled Radiator, Radiator",Radiant,Portable,,"Metal, Plastic",3 Heat,,EP22611,120V,"Thermostat, Indoor",,,,,,,,,"5.7 in, 5.7in.",EP22611,,,14 in,,,,,,,6940350811908,6940350811908,White,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"14""x5.7""x23""(L x W x H)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20 lbs,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,175756,1x Oil-Filled Radiator,
